Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),01 A.d.DeMP, 01 B.d.DeMP, 01 C.d.DeMP
No Match,None,unmatched,52601,10.49,26.521,196.86,468.1005,,,,0,346.336,0
No Match,None,unmatched,46596,10.027,21.612,161.05,469.0074,,,,80.4969876,0,0
No Match,None,unmatched,49312,9.707,22.236,165.67,470.9874,,,,518.7481,0,0
No Match,None,unmatched,54807,7.685,24.97,185.3,474.9404,,,,0,0,210.3835
No Match,None,unmatched,52205,9.697,22.463,167.28,478.9885,,,,366.1941,0,0
No Match,None,unmatched,44057,9.42,23.491,174.8,491.0035,,,,868.4479,0,0
No Match,None,unmatched,47317,9.904,26.03,192.95,492.9898,,,,0,647.7354,0
No Match,None,unmatched,43739,8.935,23.143,172.17,495.006,,,,44.90657163,0,0
No Match,None,unmatched,44662,10.302,22.661,167.99,496.013,,,,0,825.3276,0
No Match,None,unmatched,38277,10.317,22.693,168.23,496.1176,,,,0,1246.733,0
No Match,None,unmatched,48915,10.309,22.758,169.3,496.8929,,,,543.3226,0,0
No Match,None,unmatched,53186,9.767,23.493,174.75,497.0177,,,,319.0797,0,0
No Match,None,unmatched,52629,10.091,23.487,174.67,501.0031,,,,345.0904,0,0
No Match,None,unmatched,40973,9.5195,23.678,176.065,503.00905,,,,590.0299,0,0
No Match,None,unmatched,54565,9.778,24,178.46,503.018,,,,229.6232,0,0
No Match,None,unmatched,52844,9.833,23.422,174.15,505.0175,,,,335.6541,0,0
No Match,None,unmatched,47406,9.687,23.809,177.01,507.0169,,,,642.9042,0,0
No Match,None,unmatched,14448,11.594,22.891,170.19,507.9631,,,,12184.079,0,0
No Match,None,unmatched,45481,11.168,26.705,198.47,508.981,,,,767.1277,0,0
No Match,None,unmatched,51740,10.425,22.438,166.82,509.0029,,,,388.2316,0,0
No Match,None,unmatched,52422,10.045,23.84,177.21,509.0068,,,,354.9226,0,0
No Match,None,unmatched,54422,8.76,26.279,194.55,516.9563,,,,0,240.9351,0
No Match,None,unmatched,41164,9.179,23.099,171.66,517.0056,,,,587.6831683,0,0
No Match,None,unmatched,43696,10.816,23.621,175.47,522.941,,,,892.1275,0,0
No Match,None,unmatched,52856,8.798,25.926,191.88,522.9492,,,,0,335.1205,0
No Match,None,unmatched,52304,9.649,23.424,173.97,526.9904,,,,361.4206,0,0
No Match,None,unmatched,52051,10.989,25.088,186.3,527.9609,,,,373.2175,0,0
No Match,None,unmatched,51048,10.999,25.098,186.35,530.1022,,,,423.4824,0,0
No Match,None,unmatched,43546,8.5925,26.9915,199.825,532.98285,,,,340.131,0,901.5947
No Match,None,unmatched,51150,11.639,27.007,199.76,532.9896,,,,0,0,418.2877
No Match,None,unmatched,52207,9.137,23.907,177.5,533.0156,,,,366.1345,0,0
No Match,None,unmatched,50815,9.578,23.517,174.6,535.01,,,,98.95141448,0,0
No Match,None,unmatched,44014,11.508,26.881,199.51,536.0301,,,,871.6375,0,0
No Match,None,unmatched,54052,10.64,22.939,169.71,537.0276,,,,0,0,268.2334
No Match,None,unmatched,51976,11.952,27.708,204.88,538.9675,,,,0,0,376.307
No Match,None,unmatched,24122,10.073,24.321,180.51,540.9435,,,,3375.349,0,0
No Match,None,unmatched,24238,10.994,24.806,184.1,540.9362,,,,3342.603,0,0
No Match,None,unmatched,20133,10.851,23.859,176.76,542.9259,,,,3707.39,1468.526,0
No Match,None,unmatched,53202,10.547,24.063,178.58,543.0287,,,,318.0294,0,0
No Match,None,unmatched,54605,10.079,24.803,184.06,543.034,,,,226.3951,0,0
No Match,None,unmatched,47910,9.691,25.304,187.75,545.0175,,,,608.7107,0,0
No Match,None,unmatched,35694,9.63,24.003,178.1,547.0357,,,,1462.06,0,0
No Match,None,unmatched,36547,9.591,24.799,183.975,549.0251,,,,622.6072,0,0
No Match,None,unmatched,34803,9.151333333,23.562,174.8066667,551.0207333,,,,758.9074081,0,0
No Match,None,unmatched,30183,9.805,23.956,177.57,551.0285,,,,215.459384,0,0
No Match,None,unmatched,50650,9.277,24.751,183.58,555.0208,,,,97.50104854,0,0
No Match,None,unmatched,54646,10.361,24.222,179.64,557.0022,,,,223.4688,0,0
No Match,None,unmatched,46053,9.479,24.261,179.935,557.0199,,,,729.9193,0,0
No Match,None,unmatched,41633,9.74,24.646,182.78,557.0414,,,,1013.9,0,0
No Match,None,unmatched,21090,11.987,28.158,208.03,557.9758,,,,0,4630.132,0
No Match,None,unmatched,42843,9.493,23.898,177.23,558.9953,,,,942.5725,0,0
No Match,None,unmatched,34146,9.191,24.198,179.445,559.01925,,,,638.0529912,0,0
No Match,None,unmatched,45475,9.55,24.88,184.495,559.02065,,,,767.6327,0,0
No Match,None,unmatched,54385,9.439,24.761,183.62,559.0553,,,,243.5398,0,0
No Match,None,unmatched,41748,9.180333333,24.239,179.6733333,561.0247,,,,280.3257068,0,0
No Match,None,unmatched,33947,9.928,24.036,178.03,561.0235,,,,543.5952427,0,0
No Match,None,unmatched,49653,9.314,24.715,183.26,561.0553,,,,498.7027,0,0
No Match,None,unmatched,52761,9.06,24.89,184.54,563.0237,,,,338.419,0,0
No Match,None,unmatched,28428,11.206,24.606,182.42,564.9107,,,,2374.805,0,0
No Match,None,unmatched,41171,9.623,24.219,179.25,565.0453,,,,647.4622,396.1236,0
No Match,None,unmatched,25849,9.388,23.745,175.82,569.015,,,,901.8963954,0,0
No Match,None,unmatched,29847,9.352,24.666,182.81,573.0251,,,,1126.628671,0,0
No Match,None,unmatched,17037,11.988,28.394,209.62,574.9862,,,,0,7888.696,0
No Match,None,unmatched,18129,10.397,25.13,186.21,575.9157,,,,6708.338,0,0
No Match,None,unmatched,11654,11.979,28.366,209.41,575.9837,,,,0,6868.253,13688.449
No Match,None,unmatched,10401,11.976,28.399,209.65,576.9833,,,,0,12641.679,13887.699
No Match,None,unmatched,43100,9.391,24.382,180.675,577.02435,,,,927.7257,0,0
No Match,None,unmatched,52620,10.225,24.501,181.56,577.0238,,,,345.3785,0,0
No Match,None,unmatched,25724,9.497,24.426,180.68,577.0308,,,,1360.332,1584.14,0
No Match,None,unmatched,37969,9.563,24.931,184.74,577.0364,,,,1273.615,0,0
No Match,None,unmatched,54390,9.645,24.477,181.29,589.0284,,,,243.0709,0,0
No Match,None,unmatched,38737,9.779,25.182,186.18,589.0314,,,,508.4809,702.821,0
No Match,None,unmatched,45259,9.712,25.081,185.42,591.0288,,,,0,0,70.07176539
No Match,None,unmatched,51869,9.867,24.962,184.18,597.0348,,,,0,381.7772,0
No Match,None,unmatched,29091,10.704,25.891,191.18,621.9242,,,,1911.696,347.3791,0
No Match,None,unmatched,49360,10.883,26.6045,196.78,621.92045,,,,1944.345,0,0
No Match,None,unmatched,44231,11.422,27.85,205.88,635.9345,,,,855.8708,0,0
No Match,None,unmatched,39713,12.145,26.277,194.19,648.9077,,,,10263.439,0,0
No Match,None,unmatched,6925,11.70566667,28.27466667,208.51,649.9533667,,,,131086.899,27945.369,18017.799
No Match,None,unmatched,50021,12.685,25.853,190.77,700.9635,,,,477.6776,0,0
No Match,None,unmatched,43622,13.261,28.548,210.54,712.9297,,,,896.4982,0,0
No Match,None,unmatched,53661,13.258,27.61,203.3,780.9792,,,,292.4073,0,0
No Match,None,unmatched,35299,13.103,26.802,197.3,795.0626,,,,1500.391,0,0
No Match,None,unmatched,53264,14.337,31.264,228.9,881.95,,,,0,314.4638,0
No Match,None,unmatched,36282,14.751,30.468,223.08,995.9355,,,,0,0,840.2883566
No Match,None,unmatched,51044,15.299,32.223,235.2,1094.9432,,,,0,423.5941,0
