Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),01 A.d.DeMP, 01 B.d.DeMP, 01 C.d.DeMP
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-(phenylsulfanyl)octan-2-ol or 4-[(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)sulfanyl]phenol",External Targets,tentative,46228,9.928,21.655,161.36,471.0051,-9.07,N/A,N/A,718.4859,0,0
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-(phenylsulfanyl)octan-2-ol or 4-[(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)sulfanyl]phenol",External Targets,tentative,30449,9.89,22.951,170.98,471.0061,-6.95,N/A,N/A,409.1102224,0,0
"9,9,10,10,11,11,12,12,12-Nonafluoro-7-iodododecan-1-ol",External Targets,tentative,39384,9.93,22.279,165.97,473.0054,5.22,N/A,N/A,1164.452,0,0
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctane-1-sulfonic acid",External Targets,tentative,44290,9.996,22.195,165.27,480.9339,-11.93,N/A,N/A,851.105,0,0
"4,4'-(1,1,1,3,3,3-Hexafluoropropane-2,2-diyl)bis(2-nitrobenzoic acid)",External Targets,tentative,50251,9.406,23.226,172.92,481.0157,9.35,N/A,N/A,464.7897,0,0
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfinic Acid",External Targets,tentative,23466,10.61,22.507,167.57,482.9313,-8.28,N/A,N/A,3596.428,0,0
4-(Heptadecafluorooctyl)-1H-pyrazole or 5-(Heptadecafluorooctyl)-1H-imidazole,External Targets,tentative,35382,9.811,22.702,168.99,485.0014,12.79,N/A,N/A,1492.515,0,0
"Butanamide, N-(4'-(acetylamino)-3,3'-dichloro(1,1'-biphenyl)-4-yl)-2,2,3,3,4,4,4-heptafluoro-",External Targets,tentative,48302,10.459,23.617,175.75,488.9997,-3.27,N/A,N/A,582.431,0,0
"1-(Perfluorofluorooctyl)propane-2,3-diol",External Targets,tentative,51780,10.003,23.155,172.28,493.0119,3.49,N/A,N/A,386.5553,0,0
10-H-Perfluorodecanoic acid,External Targets,tentative,4966,9.61,21.408,159.09,494.965,-9,N/A,N/A,14346.11751,0,0
4-(Pentadecafluoroheptyl)cyclohexane-1-carboxylic acid,External Targets,tentative,52041,9.752,23.042,171.43,495.0381,-13.28,N/A,N/A,373.6923,0,0
Perfluorooctanesulfonamide,External Targets,tentative,13312,11.3485,22.521,167.24,497.9425,-7.43,N/A,N/A,39282.639,1889.26,3214.737
