ID,RT,DT,CCS,m/z,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
8776,13.39,58.343,466.99,116.9733,0.0,59.999,0.0,0.0,0.0,0.0,62.999,0.0
6086,4.146,7.104,57.47,116.9739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7053,8.858,8.12,65.6,116.9741,0.0,125.999,86.999,0.0,0.0,0.0,0.0,0.0
7108,11.858,8.119,65.75,116.9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5389,13.376,10.181,82.18,116.9736,0.0,108.999,0.0,0.0,154.999,0.0,0.0,83.999
8313,10.775,11.817,95.31,116.9744,0.0,50.999,0.0,0.0,92.999,0.0,0.0,0.0
6722,5.662,12.459,100.4,116.974,0.0,56.999,0.0,0.0,0.0,79.999,96.999,0.0
5441,2.541,12.906,103.89,116.9736,0.0,214.999,0.0,0.0,0.0,0.0,0.0,127.999
4855,2.031,14.274,115.03,116.9739,0.0,0.0,0.0,0.0,38.91850231579282,27.91850231579282,113.91850231579282,0.0
8297,13.825,14.497,116.69,116.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6197,6.464,25.11,202.11,116.9744,0.0,0.0,0.0,0.0,112.7519391697933,0.0,0.0,0.0
5915,7.897,27.737,222.83,116.9742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5078,11.057,27.361,220.02,116.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8900,5.544,28.219,226.26,116.9741,0.0,57.999,0.0,0.0,0.0,0.0,58.999,0.0
7752,2.436,29.875,240.19,116.9743,0.0,0.0,117.999,0.0,0.0,0.0,55.999,0.0
8857,13.125,30.03,241.17000000000002,116.97375,0.0,115.999,0.0,0.0,138.999,110.999,0.0,104.999
7221,15.53,30.237,242.97,116.9736,0.0,0.0,0.0,0.0,72.999,128.999,0.0,0.0
6328,11.624,31.396,252.35,116.9737,0.0,51.999,0.0,108.999,102.999,0.0,0.0,0.0
4638,13.633,32.791,263.19,116.9737,0.0,35.37748265329594,0.0,0.0,0.0,13.377482653295942,0.0,0.0
7791,14.278,32.154,258.14,116.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5756,13.198,35.256,282.92,116.9737,0.0,0.0,0.0,0.0,0.0,0.0,13.793890518294702,0.0
8186,14.256,35.405,284.03,116.9734,0.0,0.0,0.0,0.0,0.0,85.999,64.999,0.0
6106,13.469,36.773,294.97,116.9741,0.0,62.999,0.0,0.0,81.999,68.999,0.0,66.999
7937,14.658,38.765,310.54,116.9735,0.0,72.999,0.0,0.0,0.0,0.0,90.999,0.0
8191,14.6,40.733,326.95,116.9737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7226,14.297,45.136,362.06,116.9735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5250,2.864,54.416,436.35,116.9737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8432,8.696,7.271,58.74,116.9746,74.999,0.0,0.0,64.999,0.0,0.0,0.0,0.0
8901,14.447,9.136,73.89,116.9748,0.0,0.0,0.0,0.0,0.0,0.0,16.793890518294702,0.0
8417,2.299,11.905,95.98,116.9747,0.0,62.999,0.0,76.999,0.0,0.0,0.0,0.0
8156,3.881,12.203,98.45,116.9749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8090,9.557,12.686,102.26,116.9754,0.0,0.0,0.0,0.0,0.0,74.999,0.0,80.999
6359,13.501,12.923,104.22,116.9752,0.0,0.0,0.0,0.0,28.37686152929294,0.0,0.0,0.0
7921,2.944,13.846,111.54,116.9751,0.0,81.999,0.0,0.0,0.0,82.999,0.0,0.0
9031,13.111,40.661,326.13,116.9749,0.0,19.668657596793565,0.0,0.0,0.0,0.0,0.0,0.0
8665,11.609,12.586,101.57,116.9768,0.0,0.0,0.0,68.999,58.999,0.0,0.0,0.0
8592,4.6,27.724,222.57,116.976,0.0,0.0,0.0,0.0,0.0,57.999,0.0,73.999
8068,2.189,34.372,276.46,116.9758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8147,3.082,54.675,438.19,116.9769,0.0,0.0,0.0,0.0,75.999,0.0,76.999,0.0
7960,14.578,58.119,465.75,116.9763,0.0,0.0,0.0,0.0,87.999,0.0,74.999,0.0
7371,2.158,7.176,58.05,116.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494,2.773,32.132,257.84,116.9783,0.0,55.999,0.0,0.0,0.0,80.999,0.0,0.0
7348,2.019,7.893,63.64,118.966,124.999,0.0,0.0,69.999,0.0,0.0,0.0,0.0
7779,2.375,24.52,196.9,118.9666,0.0,0.0,0.0,84.999,0.0,0.0,0.0,87.999
6759,3.741,24.302,194.98,118.9667,0.0,57.999,72.999,0.0,0.0,0.0,0.0,99.999
8239,6.466,24.751,198.22,118.9659,0.0,81.999,0.0,0.0,0.0,0.0,65.999,0.0
8341,11.887,24.879,199.5,118.9667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8488,11.879,8.98,72.39,118.9686,55.999,0.0,0.0,0.0,0.0,0.0,0.0,80.999
5957,2.131,19.197,154.28,118.9679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.335531304794586
5656,3.32,19.201,154.14,118.9684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7623,6.273,19.523,156.64,118.9686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4271,2.155,20.319,163.35,118.9684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6659,3.83,20.617,165.97,118.9687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5602,4.391,20.215,162.78,118.9684,176.999,0.0,147.999,0.0,0.0,0.0,0.0,0.0
3726,5.887,20.804,167.49,118.9683,0.0,0.0,10.087549957804441,0.0,0.0,0.0,0.0,0.0
5841,2.208,22.487,181.06,118.9686,135.999,0.0,166.999,0.0,0.0,0.0,0.0,0.0
7750,4.42,23.16,186.47,118.9677,64.999,0.0,108.999,0.0,0.0,0.0,0.0,0.0
6284,6.85,23.122,185.78,118.9687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6130,10.504,23.092,185.51,118.9688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8076,3.475,23.709,190.89,118.9687,0.0,0.0,92.999,63.999,0.0,0.0,0.0,0.0
7451,12.997,23.796,191.1,118.9688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7429,13.12,25.679,205.89,118.9685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8755,4.773,7.854,63.48,118.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.460764226295694
