ID,RT,DT,CCS,m/z, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
76,13.812,25.882,194.43,361.2369,17323.0,17644.0,17718.0,17420.0,16330.0,16693.0,16018.0,15505.0,15819.0,13895.0,13500.0,13013.0
77,14.052,25.325,190.67,341.307,0.001,0.001,0.001,11795.0,11694.0,11309.0,0.001,0.001,57.0,48801.0,48372.0,55091.0
78,14.298,29.406,218.82,480.3105,8718.0,8298.0,7928.0,8140.0,7142.0,7282.0,26513.0,24392.0,23548.0,22069.0,20908.0,19035.0
79,12.983,35.24,259.98,674.1843,3321.0,3407.0,3660.0,2575.0,2264.0,2013.0,30201.0,30922.0,31458.0,28542.0,19936.0,21913.0
80,15.905,25.126,189.53,325.3112,1462.0,1332.0,1280.0,6187.0,5999.0,4638.0,5561.0,7224.0,6043.0,49212.0,38688.0,37661.0
81,13.0,24.259,183.02,325.1843,0.001,1838.0,1944.0,779.0,0.001,0.001,0.001,29624.0,37993.0,22836.0,0.001,67572.0
82,11.944,23.543,178.3,297.153,3915.0,2996.0,3576.0,2285.0,1503.0,1670.0,27504.0,26130.0,34813.0,34387.0,0.001,22959.0
83,6.248,20.935,160.19,242.1752,4296.0,4047.0,2074.0,7113.0,5110.0,4027.0,7933.0,31308.0,13900.0,61964.0,6405.0,12047.0
84,14.548,27.781,207.94,398.3336,0.001,0.001,0.001,26389.0,28831.0,28799.0,0.001,0.001,0.001,24296.0,25992.0,25630.0
85,13.143,25.896,194.11,385.2394,923.0,780.0,786.0,4439.0,3479.0,3443.0,5690.0,6329.0,6848.0,43447.0,38112.0,39995.0
86,0.243,22.431,168.66,359.0431,14613.0,11146.0,12508.0,10874.0,11216.0,7375.0,19205.0,13802.0,15356.0,14199.0,10302.0,10718.0
87,15.68,25.365,191.05,337.3115,4010.0,3685.0,3143.0,2113.0,1593.0,1333.0,28444.0,32100.0,30991.0,16186.0,13418.0,11756.0
88,13.279,23.064,175.24,277.2171,3707.0,3543.0,3254.0,2845.0,2514.0,2316.0,21423.0,19513.0,19131.0,25703.0,22127.0,22061.0
89,13.806,25.142,189.6,327.2332,9430.0,9416.0,9455.0,8091.0,7732.0,7429.0,15924.0,14470.0,15687.0,16107.0,15953.0,16121.0
90,15.207,29.004,215.86,478.3306,1527.0,1572.0,1819.0,1943.0,1180.0,1501.0,32065.0,21068.0,22657.0,23031.0,18366.0,18311.0
91,11.39,25.097,186.4,528.9677,3180.0,2838.0,2921.0,3221.0,2685.0,2189.0,22828.0,18408.0,17814.0,27543.0,21286.0,19844.0
92,15.427,28.886,215.1,469.334,0.001,0.001,0.001,12346.0,11596.0,11742.0,1106.0,980.0,0.001,38165.0,33868.0,33723.0
93,13.828,30.215,224.31,522.2839,2213.0,2281.0,2131.0,0.001,0.001,0.001,26009.0,17969.0,20565.0,27037.0,21707.0,22695.0
94,13.938,23.696,179.62,291.2332,2918.0,2659.0,2529.0,2491.0,1929.0,1916.0,21653.0,19584.0,19869.0,22445.0,21998.0,21158.0
