Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP
No Match,None,unmatched,1081.0,9.424,18.593,140.14,346.9725,,,,16.650539032798775,0.0,0.0,0.0,0.0,149.65053903279878,0.0,0.0,0.0,253.65053903279875,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,2947.0,12.948,21.622,162.69,358.0361,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.999,0.0,0.0,149.999,174.999,0.0
No Match,None,unmatched,1776.0,9.998,23.086,173.06,387.0668,,,,0.0,0.0,0.0,0.0,0.0,0.0,118.999,0.0,0.0,0.0,179.999,0.0,0.0,0.0,153.999,1010.999
No Match,None,unmatched,3265.0,12.195,23.516,176.32,405.0432,,,,0.0,0.0,162.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.999,164.999,0.0,0.0,0.0
No Match,None,unmatched,3121.0,11.06,22.825,170.66,414.9471,,,,0.0,0.0,0.0,0.0,0.0,148.999,0.0,0.0,0.0,0.0,0.0,172.999,0.0,0.0,0.0,138.999
No Match,None,unmatched,1905.0,8.473,20.594,154.28,416.9018,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.331883012115412,0.0,79.33188301211541,0.0,0.0,106.33188301211538,0.0,0.0
No Match,None,unmatched,4204.0,9.43,20.718,155.06,430.9852,,,,0.0,0.0,60.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.999,70.999,0.0,0.0,0.0
No Match,None,unmatched,2118.0,11.062,23.815,177.61,450.9244,,,,0.0,0.0,0.0,0.0,0.0,263.999,0.0,0.0,0.0,0.0,0.0,243.999,0.0,0.0,0.0,540.999
No Match,None,unmatched,2427.0,11.06,23.835,177.74,452.9212,,,,0.0,0.0,0.0,0.0,0.0,205.999,0.0,0.0,0.0,0.0,0.0,163.999,0.0,0.0,0.0,405.999
No Match,None,unmatched,2288.0,11.625,21.885,163.25,466.956,,,,0.0,0.0,0.0,0.0,108.999,83.999,0.0,0.0,71.999,110.999,0.0,86.999,178.999,90.999,0.0,146.999
No Match,None,unmatched,3544.0,10.312,22.638,168.71,499.0673,,,,0.0,0.0,89.999,0.0,0.0,0.0,0.0,0.0,53.999,0.0,191.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3180.0,11.027,24.117,179.56,508.9588,,,,0.0,0.0,85.999,0.0,0.0,0.0,0.0,0.0,0.0,113.999,0.0,0.0,74.999,67.999,93.999,0.0
No Match,None,unmatched,3898.0,14.869,24.73,183.37,624.9557,,,,0.0,0.0,56.999,0.0,54.999,0.0,0.0,0.0,0.0,0.0,76.999,0.0,67.999,0.0,0.0,0.0
No Match,None,unmatched,4767.0,9.947,25.5095,189.26999999999998,643.0327500000001,,,,66.999,57.999,54.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,4488.0,10.013,26.208,194.09,675.04,,,,56.999,0.0,52.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.999,0.0,0.0,0.0
No Match,None,unmatched,2941.0,15.215,26.236,193.82,720.8961,,,,0.0,0.0,0.0,0.0,103.999,0.0,0.0,80.999,0.0,0.0,134.999,115.999,0.0,84.999,0.0,0.0
No Match,None,unmatched,2714.0,15.472,27.452,202.5,757.9155,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.999,126.999,0.0,0.0,151.999,0.0,99.999,113.999,0.0
No Match,None,unmatched,334.0,14.030999999999999,29.53,217.16,944.93865,,,,68.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.999,55.999,0.0,74.999,0.0,0.0,0.0
