ID,RT,DT,CCS,m/z,SD,Abundance,37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
510,13.526,19.127,145.31,288.0329,0.0004,559,0.001,931,913,0.001,839,1220,855,1089,1078,0.001,1007,1013,0.001,0.001,0.001,0.001,0.001,449,0.001
511,13.239,19.059,144.74,289.0296,0.0004,559,0.001,748,627,0.001,708,714,679,655,863,417,819,505,726,789,693,0.001,0.001,0.001,101
512,13.074,31.377,232.88,571.2888,0.0008,556,1151,742,366,0.001,610,423,390,776,0.001,273,255,844,940,268,938,920,0.001,0.001,0.001
513,15.941,29.648,221.51,449.3611,0.0005,553,583,602,708,0.001,511,437,373,618,642,598,835,818,969,375,777,0.001,0.001,0.001,0.001
514,12.589,24.14,182.22,326.1869,0.0004,552,0.001,0.001,0.001,0.001,1491,0.001,0.001,0.001,0.001,2014,0.001,2122,1407,0.001,0.001,1802,0.001,1480,0.001
515,2.47,24.345,182.64,395.1706,0.0005,552,232,362,554,0.001,403,752,567,1339,533,597,665,782,689,770,584,0.001,292,0.001,173
516,13.227,27.534,205.78,441.3017,0.0006,551,501,444,404,0.001,521,607,619,587,771,732,589,729,454,753,768,335,0.001,0.001,0.001
517,12.719,18.958,144.68,261.0397,0.0005,551,903,1038,968,0.001,836,1121,420,1097,0.001,400,0.001,0.001,1038,0.001,0.001,989,0.001,0.001,0.001
518,12.367,24.541,185.25,326.1865,0.0009,550,0.001,88,0.001,0.001,0.001,132,0.001,137,0.001,0.001,0.001,149,8020,203,0.001,63,1542,0.001,0.001
519,13.758,29.849,221.96,526.2936,0.001,549,275,0.001,319,0.001,684,1426,357,0.001,388,1468,194,881,452,507,1556,282,0.001,0.001,0.001
520,14.081,17.479,134.53,219.0273,0.0002,549,0.001,0.001,0.001,0.001,1134,838,878,0.001,0.001,0.001,0.001,1126,0.001,762,941,3102,0.001,0.001,0.001
521,13.297,18.961,144.67,261.0396,0.0006,548,863,0.001,862,0.001,850,946,0.001,0.001,0.001,0.001,0.001,0.001,1029,0.001,981,3244,0.001,0.001,351
522,5.991,19.766,151.71,229.0533,0.001,547,0.001,0.001,0.001,0.001,70,0.001,0.001,3244,0.001,0.001,0.001,0.001,0.001,0.001,164,5271,0.001,0.001,0.001
523,15.406,27.233,204.31,383.4831,0.003,540,0.001,0.001,0.001,0.001,1711,0.001,0.001,0.001,2500,0.001,0.001,0.001,2461,0.001,0.001,1961,0.001,0.001,0.001
524,16.209,27.294,204.72,395.3891,0.0007,538,0.001,280,1458,0.001,428,151,243,855,370,2577,471,394,808,235,337,0.001,0.001,0.001,0.001
