ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 130 B2 7523.d.DeMP
25456,0.494,22.419,171.97,223.0219,-1,1,4,81.2,,False,135.999
25464,4.533,35.543,262.61,671.5223,-1,1,3,57.8,,False,149.999
25466,0.4,29.128,218.08,397.0042,-1,1,3,50.6,,False,254.999
25477,3.212,16.153,123.64,227.2034,-1,1,3,81.3,,False,227.999
25479,3.469,27.027,199.23,730.9609,-1,1,5,59.6,,False,78.999
25484,0.559,24.792,190.74,213.0877,-1,1,4,76.0,,False,250.88899999999998
25485,4.364,31.342,233.14,495.6763,-1,3,3,52.5,,False,159.999
25493,3.769,35.486,262.16,675.4166,-1,1,3,43.6,,False,227.999
25497,3.001,34.852,257.36,688.3863,-1,1,3,53.1,,False,115.999
25506,4.281,35.658,263.29,692.4745,-1,1,3,83.3,,False,175.999
25510,3.542,20.377,155.51,244.0325,-1,1,5,86.5,,False,61.999
25515,3.866,39.673,292.11,817.8183,-1,1,4,54.7,,False,108.55566666666667
25518,2.792,31.568,233.93,577.3164,-1,1,3,84.5,,False,147.999
25520,0.775,55.096,436.93,141.0209,-1,1,3,46.0,,False,238.999
25524,0.519,29.539,230.98,167.0207,-1,1,3,75.9,,False,167.999
25525,3.37,44.872,329.57,979.7909,-1,1,4,89.1,,False,53.999
25528,1.508,30.527,226.33,563.3134,-1,1,3,86.0,,False,238.999
25531,1.681,23.179,172.9,436.918,-1,1,3,73.0,,False,192.999
25535,0.722,28.416,209.69,698.8235,-1,1,5,70.4,,False,113.999
25556,1.575,4.561,36.26,116.9748,-1,1,4,44.2,,False,151.66677777777778
25559,3.709,47.333,347.09,1113.8367,-1,1,4,89.2,,False,94.999
25560,3.971,26.751,200.41,387.2054,-1,1,3,67.2,,False,201.999
25561,1.748,21.44,163.41,251.1222,-1,1,3,68.2,,False,277.999
25565,2.643,33.291,246.55,595.4288,-1,1,3,53.7,,False,223.999
25569,2.817,27.493,205.36,425.1118,-1,1,3,58.5,,False,151.999
25572,1.625,11.266,90.25,118.9671,-1,1,4,56.6,,False,154.999
25577,3.789,46.131,338.53,1047.8235,-1,2,4,65.9,,False,155.999
25582,2.521,21.696,165.74,240.2403,-1,1,4,77.4,,False,72.999
25585,4.232,32.131,238.22,564.3524,-1,1,3,72.8,,False,103.22233333333334
25591,1.518,30.81,228.62,545.3415,-1,1,3,54.1,,False,263.999
25593,3.034,20.763,158.53,242.1795,-1,1,3,86.5,,False,121.999
25595,0.57,23.672,177.18,392.9405,-1,1,3,99.4,,False,27.666777777777725
25601,0.477,28.459,209.75,744.775,-1,1,4,93.1,,False,137.999
25611,4.198,37.755,278.62,714.5211,-1,1,6,50.5,,False,2.626767614617151
25616,0.467,12.028,99.45,89.0236,-1,1,3,93.5,,False,158.999
25621,4.462,25.985,197.0,284.2706,-1,1,3,95.3,,False,167.999
25627,4.24,37.042,273.0,765.7832,-1,1,3,46.5,,False,101.999
25629,1.549,23.87,180.18,313.1668,-1,1,3,43.4,,False,163.999
25633,2.521,32.035,237.02,621.2383,-1,1,3,51.4,,False,224.999
25645,2.662,40.612,318.05,165.0408,-1,1,3,92.9,,False,199.999
25654,0.539,23.235,178.63,215.0346,-1,1,3,88.5,,False,187.999
25656,1.668,24.778,186.24,350.2421,-1,1,3,45.2,,False,84.999
25657,4.42,22.929,174.3,266.258,-1,1,3,99.1,,False,124.999
25659,1.215,31.304,231.69,611.3459,-1,1,4,63.1,,False,99.999
25663,0.57,24.928,185.59,468.9498,-1,1,4,79.3,,False,32.66677777777778
25669,3.305,32.143,238.62,537.8402,-1,2,3,74.2,,False,152.999
25670,4.196,33.949,251.48,592.169,-1,1,3,52.3,,False,151.999
25673,0.432,26.133,193.58,574.8386,-1,1,4,50.7,,False,44.44455555555558
25684,3.249,27.923,208.66,419.1781,-1,1,3,95.0,,False,94.999
25685,2.567,32.886,243.76,573.3776,-1,1,3,50.2,,False,158.999
25686,0.754,27.807,205.58,634.8613,-1,1,4,49.8,,False,133.999
25697,2.217,27.576,205.6,451.2086,-1,1,3,94.0,,False,246.999
25712,1.999,27.12,202.65,419.2851,-1,1,3,86.1,,False,148.999
25718,0.333,29.238,230.82,146.9844,-1,1,3,71.8,,False,228.999
25722,1.868,26.199,196.38,380.2838,-1,1,3,88.0,,False,152.999
25731,3.389,32.193,238.6,575.3899,-1,1,3,69.8,,False,189.999
