SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
NIST SRM-1957 6.d.DeMP,12.0,No,0.0010274611045930208,0.003671582546105148,-0.0010274603756915074,1.96,10.487,22.6919364929199,168.502203849925,500.92309,498.92741,1093.0
NIST SRM-1957 6.d.DeMP,12.0,No,0.0010274611045930208,0.003671582546105148,-0.0010274603756915074,1.96,10.487,22.6919364929199,168.502203849925,501.9271,498.92741,110.0
NIST SRM-1957 6.d.DeMP,40.0,No,0.00013019669342914783,0.0064568861164908745,0.00013017890230184945,2.33,8.557,20.1517543792725,150.714644994272,398.93528,398.93528,12497.0
NIST SRM-1957 6.d.DeMP,40.0,No,0.00013019669342914783,0.0064568861164908745,0.00013017890230184945,2.33,8.557,20.1517543792725,150.714644994272,399.93662,398.93528,801.0
NIST SRM-1957 6.d.DeMP,40.0,No,0.00013019669342914783,0.0064568861164908745,0.00013017890230184945,2.33,8.557,20.1517543792725,150.714644994272,400.93582,398.93528,975.0
NIST SRM-1957 6.d.DeMP,42.0,No,0.0012193342795803694,0.006343762475652851,0.0012193324460045823,2.13,10.233,22.3018474578857,165.617972789227,498.92757,498.92757,11967.0
NIST SRM-1957 6.d.DeMP,42.0,No,0.0012193342795803694,0.006343762475652851,0.0012193324460045823,2.13,10.233,22.3018474578857,165.617972789227,499.92937,498.92757,964.0
NIST SRM-1957 6.d.DeMP,42.0,No,0.0012193342795803694,0.006343762475652851,0.0012193324460045823,2.13,10.233,22.3018474578857,165.617972789227,500.92251,498.92757,503.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,244.90823,244.90823,6989.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,245.91047,244.90823,606.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,246.90548,244.90823,6511.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,247.90826,244.90823,498.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,248.90216,244.90823,2062.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,249.90429,244.90823,161.0
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,6.432,17.9004554748535,136.693861951142,250.89964,244.90823,193.0
NIST SRM-1957 6.d.DeMP,100.0,No,0.0044401042265528766,0.0044579708040992745,0.004440103977891243,2.24,9.552,18.5988922119141,139.527030728775,368.97434,368.97434,4469.0
NIST SRM-1957 6.d.DeMP,100.0,No,0.0044401042265528766,0.0044579708040992745,0.004440103977891243,2.24,9.552,18.5988922119141,139.527030728775,369.97779,368.97434,290.0
NIST SRM-1957 6.d.DeMP,376.0,No,0.0031893673650891315,0.001824933732087122,-0.0031893673070772237,1.76,9.615,21.4134159088135,159.51914791878,448.92963,448.92963,1020.0
NIST SRM-1957 6.d.DeMP,376.0,No,0.0031893673650891315,0.001824933732087122,-0.0031893673070772237,1.76,9.615,21.4134159088135,159.51914791878,449.93584,448.92963,92.0
NIST SRM-1957 7.d.DeMP,12.0,No,0.0012814592236141701,0.0033549185684006956,-0.0012814587356513273,1.92,10.483,22.7343406677246,168.815729980624,498.92749,498.92749,26701.0
NIST SRM-1957 7.d.DeMP,12.0,No,0.0012814592236141701,0.0033549185684006956,-0.0012814587356513273,1.92,10.483,22.7343406677246,168.815729980624,499.92969,498.92749,2472.0
NIST SRM-1957 7.d.DeMP,12.0,No,0.0012814592236141701,0.0033549185684006956,-0.0012814587356513273,1.92,10.483,22.7343406677246,168.815729980624,500.92317,498.92749,1198.0
NIST SRM-1957 7.d.DeMP,40.0,No,0.0019127041477072348,0.0038179505706931486,-0.0019127037243174784,1.99,8.554,20.1888599395752,150.990814705506,398.93542,398.93542,11900.0
NIST SRM-1957 7.d.DeMP,40.0,No,0.0019127041477072348,0.0038179505706931486,-0.0019127037243174784,1.99,8.554,20.1888599395752,150.990814705506,399.9373,398.93542,861.0
NIST SRM-1957 7.d.DeMP,40.0,No,0.0019127041477072348,0.0038179505706931486,-0.0019127037243174784,1.99,8.554,20.1888599395752,150.990814705506,400.93594,398.93542,1010.0
NIST SRM-1957 7.d.DeMP,41.0,No,0.00021684612737230634,0.0050829307861975795,0.0002168395080908974,1.84,10.231,22.3491916656494,165.968021813702,498.92794,498.92794,12203.0
NIST SRM-1957 7.d.DeMP,41.0,No,0.00021684612737230634,0.0050829307861975795,0.0002168395080908974,1.84,10.231,22.3491916656494,165.968021813702,499.92958,498.92794,1040.0
