Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 83 2095 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP
No Match,None,unmatched,1103,6.35,16.697,128.53,222.8973,,,,357.999,337.999,454.999,914.999,483.999,620.999,437.999,638.999,512.999,684.999,409.999,631.999,328.999,418.999,0
No Match,None,unmatched,1353,6.842,17.06,131.36,223.9518,,,,0,343.999,595.999,1352.999,1299.999,721.999,0,0,0,0,737.999,0,0,463.999,0
No Match,None,unmatched,3353,6.347,16.702,128.5,224.8942,,,,0,0,161.999,239.999,106.999,127.999,0,121.999,126.999,153.999,0,155.999,136.999,0,0
No Match,None,unmatched,3137,5.913,17.081,131.38,224.9335,,,,0,157.999,0,0,102.999,0,0,0,234.999,318.999,127.999,261.999,170.999,135.999,0
No Match,None,unmatched,4143,6.116,17.005,130.8,225.0684,,,,442.999,0,94.999,0,108.999,159.999,262.999,137.999,216.999,0,0,123.999,165.999,121.999,123.999
No Match,None,unmatched,3569,4.1,16.716,128.37,230.9274,,,,112.999,0,0,0,0,0,296.999,0,77.999,0,343.999,199.999,0,155.999,0
No Match,None,unmatched,3602,3.642,17.093,131.34,231.049,,,,95.999,0,0,117.999,212.999,0,0,0,202.999,0,0,160.999,144.999,0,235.999
No Match,None,unmatched,2921,5.266,17.245,132.42,232.076,,,,0,0,200.999,253.999,0,0,277.999,170.999,0,0,113.999,0,0,309.999,395.999
No Match,None,unmatched,3864,4.938,17.073,130.98,233.0653,,,,0,0,0,0,0,0,167.999,0,0,149.999,0,115.999,0,242.999,349.999
No Match,None,unmatched,4356,5.321,18.363,140.7,238.0769,,,,0,0,0,0,0,0,239.999,0,282.999,0,0,0,98.999,167.999,0
No Match,None,unmatched,5191,3.101,17.242,132.18,239.065,,,,0,0,0,204.999,0,50.999,0,0,0,0,109.999,0,0,170.999,0
No Match,None,unmatched,19,6.382,17.861,136.78,244.9079,,,,21952.999,19938.999,18223.999,126896.999,27117.999,90976.999,50342.999,40889.999,30079.999,29715.999,26686.999,54918.999,46415.999,34505.999,10822.999
No Match,None,unmatched,3837,3.671,17.437,133.65,245.0661,,,,104.999,141.999,72.999,249.999,0,0,0,0,0,0,0,0,0,265.999,201.999
No Match,None,unmatched,4855,4.009,17.462,133.75,246.0738,,,,0,0,0,84.999,213.999,0,155.999,0,171.999,0,0,0,0,0,0
No Match,None,unmatched,6396,4.368,18.887,144.58,246.0727,,,,103.999,0,0,0,0,0,124.999,0,91.999,0,0,0,0,0,0
No Match,None,unmatched,5115,6.382,18.833,144.15,246.9043,,,,0,0,0,229.999,0,191.999,0,0,0,0,0,135.999,0,0,0
No Match,None,unmatched,3608,6.378,17.861,136.69,247.0021,,,,128.999,0,0,0,0,0,0,548.999,0,292.999,197.999,0,0,0,0
No Match,None,unmatched,5251,6.251,18,137.67,250.9908,,,,0,0,0,0,226.999,0,0,143.999,0,0,0,0,0,152.999,0
No Match,None,unmatched,2514,2.881,17.488,133.66,254.071,,,,250.999,0,0,211.999,195.999,0,218.999,87.999,343.999,377.999,80.999,0,158.999,295.999,0
No Match,None,unmatched,3506,5.301,17.599,134.54,254.0901,,,,0,103.999,68.999,158.999,0,79.999,260.999,149.999,0,0,248.999,157.999,0,0,0
No Match,None,unmatched,3444,2.561,19.255,147.17,255.0279,,,,0,120.999,131.999,198.999,0,301.999,0,0,0,0,194.999,175.999,0,141.999,0
No Match,None,unmatched,5207,2.391,19.019,145.19,258.9895,,,,0,0,0,0,95.999,120.999,141.999,0,0,0,172.999,0,0,0,0
No Match,None,unmatched,3858,3.121,17.757,135.63,259.0093,,,,265.999,0,191.999,0,0,0,0,0,186.999,0,324.999,0,60.999,0,0
No Match,None,unmatched,6113,4.138,17.645,134.7,260.9145,,,,0,0,0,0,121.999,0,68.999,0,171.999,0,0,0,0,0,0
No Match,None,unmatched,3010,5.324,18.298,139.52,267.056,,,,91.999,105.999,0,88.999,0,0,254.999,233.999,278.999,265.999,0,149.999,0,166.999,0
No Match,None,unmatched,1035,2.593,19.719,150.21,273.0063,,,,0,0,0,1315.999,2492.999,0,2653.999,0,0,0,1018.999,408.999,0,0,0
No Match,None,unmatched,5313,5.377,18.767,142.82,273.1063,,,,0,0,0,0,0,0,78.999,0,0,371.999,0,0,0,57.999,0
No Match,None,unmatched,584,4.866,17.219,131.04,278.9137,,,,644.999,378.999,593.999,1847.999,1105.999,2024.999,2058.999,1328.999,498.999,664.999,1561.999,1981.999,713.999,698.999,496.999
No Match,None,unmatched,6224,6.089,19.666,149.55,280.9302,,,,0,0,81.999,0,0,0,78.999,0,79.999,0,0,0,0,0,105.999
