SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,249.90356,244.90795,365.0
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,250.89786,244.90795,511.0
38 2182 - Serum.d.DeMP,51.0,No,0.004849279446993175,0.010094563469710433,0.004849278279577766,2.64,10.029,22.1778259277344,165.274383544922,498.9307,498.9307,11882.0
38 2182 - Serum.d.DeMP,51.0,No,0.004849279446993175,0.010094563469710433,0.004849278279577766,2.64,10.029,22.1778259277344,165.274383544922,499.9317,498.9307,823.0
38 2182 - Serum.d.DeMP,51.0,No,0.004849279446993175,0.010094563469710433,0.004849278279577766,2.64,10.029,22.1778259277344,165.274383544922,500.92581,498.9307,403.0
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,244.90799,244.90799,18224.0
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,245.90988,244.90799,1280.0
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,246.90503,244.90799,17476.0
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,247.90722,244.90799,1192.0
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,248.90157,244.90799,5539.0
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,249.90362,244.90799,432.0
