ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 41 B1 218.d.DeMP
29606,3.859,36.344,268.53,670.5945,-1,2,4,67.8,,FALSE,368.999
29607,2.975,32.587,242.57,483.3215,-1,1,4,78.3,,FALSE,244.999
29617,3.626,37.095,273.31,779.4342,-1,2,5,88.4,,FALSE,111.999
29618,0.444,23.317,182.43,164.072,-1,1,4,89.4,,FALSE,180.999
29622,2.079,29.59,220.37,472.2412,-1,1,3,95.4,,FALSE,199.999
29629,1.66,2.369,19.05,92.9284,-1,1,4,98.7,,FALSE,214.999
29639,1.217,38.366,309.22,116.9719,-1,1,6,96,,FALSE,111.999
29642,0.407,30.457,224.49,744.9131,-1,1,7,98.6,,FALSE,145.0001111111111
29644,3.053,30.243,225.3,467.517,-1,1,6,43.5,,FALSE,162.999
29651,0.881,20.603,156.33,275.0056,-1,1,4,97.9,,FALSE,111.999
29659,0.656,25.498,189.04,552.8697,-1,1,6,94.7,,FALSE,144.999
29662,3.658,35.845,264.95,655.5187,-1,1,7,96.6,,FALSE,133.999
29666,2.372,25.796,191.89,486.7671,-1,1,4,69.5,,FALSE,99.999
29667,1.873,28.207,209.83,489.1046,-1,2,4,95.4,,FALSE,225.999
29672,4.043,41.54,305.31,917.6215,-1,1,5,74.6,,FALSE,136.999
29684,2.138,25.894,193.89,391.2525,-1,1,5,64.2,,FALSE,112.999
29699,1.864,14.834,119.23,116.974,-1,1,5,98.2,,FALSE,212.999
29700,0.288,8.947,70.27,146.9835,-1,1,3,91.4,,FALSE,216.999
29702,1.933,28.549,209.78,888.9481,-1,1,4,99.2,,FALSE,152.999
29710,0.593,36.122,278.15,213.0178,-1,1,3,65.5,,FALSE,487.999
29720,3.365,30.34,225.38,520.2752,-1,1,5,71.8,,FALSE,157.999
29726,1.236,13.106,103.52,141.0156,-1,1,4,66.1,,FALSE,291.999
29728,1.523,37.042,272.68,818.4941,-1,2,5,85.9,,FALSE,216.999
29729,1.095,50.076,412.7,94.9251,-1,1,6,99.7,,FALSE,149.999
29731,0.381,27.5,203.15,654.7771,-1,1,6,99.4,,FALSE,189.999
29732,1.925,36.009,296.65,94.9231,-1,1,5,77.9,,FALSE,140.999
29740,1.979,5.75,45.87,116.97,-1,1,5,77.5,,FALSE,143.999
29742,2.213,16.125,126.79,150.9884,-1,1,6,97.6,,FALSE,177.999
29744,1.227,31.403,232.41,611.3457,-1,1,5,89.6,,FALSE,159.999
