,Name,Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%)
105,"THIOUREA, N-(2,2,3,3,4,4,4-HEPTAFLUOROBUTYL)-N'-",tentative,155.13,5.242,271.0135333333333,79288.0,100.0,100.0
106,"4-[(2,2,3,3,3-Pentafluoropropyl)sulfanyl]benzene-1,2-diamine",tentative,159.2,0.544,271.0307,83153.0,100.0,100.0
107,"4-[(2,2,3,3,3-Pentafluoropropyl)sulfanyl]benzene-1,2-diamine",tentative,154.87208333333334,1.8829583333333333,271.03249166666666,84778.0,100.0,100.0
108,"4-[(2,2,3,3,3-Pentafluoropropyl)sulfanyl]benzene-1,2-diamine",tentative,160.85,0.77,271.0337,64471.0,100.0,100.0
109,AC1MELTU,tentative,159.68,12.122,271.0956,77663.0,100.0,100.0
110,"2,2,3,3,4,4-Hexafluoro-4-sulfobutanoic acid",tentative,157.21,11.744,274.9429,89292.0,100.0,100.0
111,"1-[4-(1,1,2,2-Tetrafluoroethoxy)phenyl]piperazine",tentative,162.13,2.198,277.0962,94046.0,100.0,100.0
112,Tetrafluron,tentative,162.37,7.673,279.074,38369.0,100.0,100.0
113,"Bis(1H,1H-perfluoropropyl)amine",tentative,161.79,8.294,280.0217,43847.0,100.0,100.0
114,"1,1,2,2,3,3,4,4-Octafluorobutane-1-sulphonic acid or 1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid",tentative,128.8,3.192,280.9519,59816.0,100.0,100.0
115,"1,1,2,2,3,3,4,4-Octafluorobutane-1-sulphonic acid or 1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid",tentative,134.06,3.513,280.9544,55328.0,100.0,100.0
116,"2,2,3,3,4,4,4-Heptafluoro-1-(piperazin-1-yl)butan-1-one",tentative,158.54,3.577,281.052,20879.0,100.0,100.0
117,"2,2,3,3,4,4,4-Heptafluoro-1-(piperazin-1-yl)butan-1-one",tentative,160.12,2.7903333333333333,281.0532666666666,21532.0,100.0,100.0
118,"2,2,3,3,4,4,4-Heptafluoro-1-(piperazin-1-yl)butan-1-one",tentative,159.3,5.442,281.0552,91970.0,100.0,100.0
119,4-Chloro-3-(heptafluoropropyl)-5-methylpyrazole,tentative,150.95,3.692,282.9883,92895.0,100.0,100.0
120,2-(Pentafluoroethyl)-4-(propan-2-yl)pyrimidine-5-carboxylic acid,tentative,162.74,13.212,283.0511,46779.0,100.0,100.0
121,Undecafluoropentan-1-amine,tentative,158.82,15.849,283.994,89177.0,100.0,100.0
122,"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)-2-butanol",tentative,155.4933333333333,12.493666666666668,284.97565000000003,49991.0,100.0,100.0
123,"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)-2-butanol",tentative,155.5,13.476,284.9751,46404.0,100.0,100.0
124,"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)-2-butanol",tentative,155.61,9.892,284.9753,87901.0,100.0,100.0
125,"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)-2-butanol",tentative,155.42,7.485,284.9755,24469.0,100.0,100.0
126,"(1z,6z)-2,2,3,3,4,4,5,5-octafluorohexanediimidamide",tentative,157.17,10.125,285.0415,49337.0,100.0,100.0
127,"3,3,3-Trifluoro-N-(4-methylpyridin-2-yl)-2-(trifluoromethyl)propanimidic acid",tentative,158.85666666666668,1.3506666666666665,285.0471222222222,62812.0,100.0,100.0
128,"3,3,3-Trifluoro-N-(4-methylpyridin-2-yl)-2-(trifluoromethyl)propanimidic acid",tentative,158.69750000000002,1.60725,285.0472,20913.0,100.0,100.0
129,"4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)benzoic acid or 4-Amino-2-(heptafluoropropyl)pyrimidine-5-carbonitrile or Methyl 4,4,5,5,6,6,6-heptafluoro-3,3-dihydroxyhexanoate",tentative,158.5625,1.6735,287.01672500000006,22594.0,100.0,100.0
130,"(2-Bromo-1,1,2,2-tetrafluoroethoxy)(difluoro)acetic acid",tentative,143.905,1.6404999999999998,288.8969,88675.0,100.0,100.0
131,"N-[(Chlorocarbonyl)oxy]-2,2,3,3,4,4,4-heptafluorobutanimidamide",tentative,151.0,1.61,288.9639,92191.0,100.0,100.0
132,"1,1,1,3,3,3-Hexafluoro-2-(2-mercapto-5-methylphenyl)-2-propanol",tentative,158.68,1.829,289.0135,47719.0,100.0,100.0
133,"N-(3,3,4,4,5,5,5-Heptafluoropent-1-en-2-yl)cyclohexanamine",tentative,165.5,3.002,292.0942,69954.0,100.0,100.0
134,"2-{[(2,2,3,3,3-Pentafluoro-1-phenylpropylidene)amino]oxy}acetamide",tentative,162.97500000000002,4.0125,295.05085,88046.0,100.0,100.0
135,2-(Heptafluoropropyl)-3-methyl-1H-indole,tentative,165.19615384615386,15.455538461538463,298.0486461538461,44085.0,100.0,100.0
136,"1,1,1,3,3,3-Hexafluoro-2-(1,2,3,4-tetrahydroquinolin-6-yl)propan-2-ol or 4-Methyl-5-phenyl-2,2-bis(trifluoromethyl)-1,3-oxazolidine",tentative,166.14,4.238,298.0664,85079.0,100.0,100.0
137,Perfluoro-2-(trifluoromethyl)propanesulphonic acid or Perfluorobutanesulfonic acid,tentative,163.88,8.958,298.9441,61498.0,100.0,100.0
138,5:1 Fluorotelomer alcohol,tentative,159.84,13.492,298.991,65531.0,100.0,100.0
139,5:1 Fluorotelomer alcohol,tentative,160.28,8.466,298.9912,32236.0,100.0,100.0
140,5:1 Fluorotelomer alcohol,tentative,160.005,10.26,298.99255,76464.0,100.0,100.0
141,3-(Nonafluoro-1-butyl)-5-(methyl)pyrazole,tentative,165.42,10.616,299.025,7747.0,100.0,100.0
142,"5-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-1,3-dihydro-2H-benzimidazol-2-one",tentative,164.94,12.923,301.0243,84709.0,100.0,100.0
143,"5,5,6,6,7,7,8,8,8-Nonafluoro-2-methyloct-3-yn-2-ol",tentative,165.54,0.561,301.0279,87637.0,100.0,100.0
144,"1,1,1-Trifluoro-5-phenyl-2-(trifluoromethyl)pentane-2,4-diol or 2,2,3,3,3-pentafluoro-1,1-diphenylpropan-1-ol or 4,4,4-Trifluoro-2-methyl-1-phenyl-3-(trifluoromethyl)butane-1,3-diol",tentative,166.70999999999998,3.9935,301.06780000000003,14625.0,100.0,100.0
145,"5,6-Dichloro-2-(pentafluoroethyl)-1H-benzimidazole",tentative,163.28,8.556,302.9498,81733.0,100.0,100.0
146,"1-(2-Chlorophenyl)-4,4,4-trifluoro-3-(trifluoromethyl)but-2-en-1-ol or 1-(3-Chlorophenyl)-4,4,4-trifluoro-3-(trifluoromethyl)but-2-en-1-ol",tentative,158.63285714285715,1.4584285714285714,303.00371428571435,11837.0,100.0,100.0
147,"1-(2-Chlorophenyl)-4,4,4-trifluoro-3-(trifluoromethyl)but-2-en-1-ol or 1-(3-Chlorophenyl)-4,4,4-trifluoro-3-(trifluoromethyl)but-2-en-1-ol",tentative,158.33,2.235,303.0039,27508.0,100.0,100.0
148,"3,3,4,4,5,5,6,6,6-Nonafluoro-1-nitrohex-1-en-2-amine",tentative,158.81,1.82,305.0005,65555.0,100.0,100.0
149,"4,4'-(3,3,4,4-Tetrafluorocyclobut-1-ene-1,2-diyl)dianiline",tentative,160.86,10.12,307.0835,58794.0,100.0,100.0
150,"4,4'-(3,3,4,4-Tetrafluorocyclobut-1-ene-1,2-diyl)dianiline",tentative,160.1,4.927,307.084,19812.0,100.0,100.0
151,"4,4'-(3,3,4,4-Tetrafluorocyclobut-1-ene-1,2-diyl)dianiline",tentative,160.17100000000002,5.1633,307.08483,29194.0,100.0,100.0
152,"4,4'-(3,3,4,4-Tetrafluorocyclobut-1-ene-1,2-diyl)dianiline",tentative,160.18428571428572,5.625142857142857,307.0846000000001,21227.0,100.0,100.0
153,"N-{1-[2-(1,1,2,2-Tetrafluoro-2-phenylethyl)phenyl]ethylidene}hydroxylamine",tentative,169.175,9.978,310.08855,5609.0,100.0,100.0
154,"13,13,14,14,14-Pentafluoro-3,6,9,12-tetraoxatetradecan-1-ol",tentative,168.92,3.75,311.0939,91638.0,100.0,100.0
155,"2-Propanol, 3-(2-benzothiazolyl)-1,1,1-trifluoro-2-trifluoromethyl-",tentative,162.95,6.675,314.0091,81388.0,100.0,100.0
156,"2-(1,1,2,2,3,3,4,4-Octafluorobutyl)-1,3,6-triazocane",tentative,164.8,0.535,314.0927,24344.0,100.0,100.0
157,"3-(2,2-Dichloroethenyl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid or Nonafluorobutane-1-sulfonoperoxoic acid or Perfluoro(2-ethoxyethane)sulfonic acid",tentative,164.235,9.716,314.93895,48667.0,100.0,100.0
158,"3-(2,2-Dichloroethenyl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid or Nonafluorobutane-1-sulfonoperoxoic acid or Perfluoro(2-ethoxyethane)sulfonic acid",tentative,166.69,11.366,314.9399,45639.0,100.0,100.0
159,"1,1,1,5,6,6-Hexafluoro-3-(prop-2-en-1-yl)-2-(trifluoromethyl)hex-5-en-2-ol or 2-Pentanone, 4-hydroxy-1-phenoxy-5,5,5-trifluoro-4-(trifluoromethyl)- or 6,6,7,7,8,8,9,9,9-Nonafluoro-3-methylnon-4-yn-3-ol",tentative,158.52,0.56,315.0462,55975.0,100.0,100.0
160,"N'-(Benzenesulfonyl)-2,2,3,3,3-pentafluoropropanimidohydrazide",tentative,169.4,8.161,316.0178,6153.0,100.0,100.0
161,"3-Oxo-2-[2-(2,2,3,3-tetrafluoro-2,3-dihydro-1,4-benzodioxin-6-yl)hydrazinylidene]butanenitrile",tentative,166.36,4.1,316.0364,31400.0,100.0,100.0
162,"4,4,4-trifluoro-1-(4-fluorophenyl)-3-hydroxy-2-methyl-3-(trifluoromethyl)butan-1-one",tentative,139.92,5.834,317.0449,58954.0,100.0,100.0
163,"Benzimidazole, 5(or 6)-chloro-2-(heptafluoropropyl)-",tentative,132.6,8.353,318.9888,92430.0,100.0,100.0
164,"4-(2,2,3,3,4,4,4-Heptafluorobutoxy)benzoic acid",tentative,167.42,3.365,319.0179,32700.0,100.0,100.0
165,"4-Ethyl-2-(heptafluoropropyl)pyrimidine-5-carboxylic acid or Butanamide, N-(4-amino-2-hydroxyphenyl)-2,2,3,3,4,4,4-heptafluoro-",tentative,139.84,5.842,319.0339,54502.0,100.0,100.0
166,"4-Ethyl-2-(heptafluoropropyl)pyrimidine-5-carboxylic acid or Butanamide, N-(4-amino-2-hydroxyphenyl)-2,2,3,3,4,4,4-heptafluoro-",tentative,167.42000000000002,3.9725,319.035,65406.0,100.0,100.0
167,"4,4,4-Trifluoro-1-(4-fluorophenyl)-2-methyl-3-(trifluoromethyl)butane-1,3-diol",tentative,169.71,7.834,319.0598,84974.0,100.0,100.0
168,(4R)-1-(Trifluoroacetyl)-4-[(trifluoroacetyl)oxy]-L-proline,tentative,166.305,3.993,322.0146,92498.0,100.0,100.0
169,"Ethyl [2-(2-ethoxyethoxy)-1,1,1,3,3,3-hexafluoropropan-2-yl]carbamate",tentative,169.43,5.41,326.0842,52966.0,100.0,100.0
170,"2,2'-[(2,2,3,3,4,4-hexafluoropentane-1,5-diyl)bis(oxy)]diacetic acid or 2-Acetoxy-4-(2.2,3,3,3-pentafluoropropoxy)benzoic acid",tentative,170.055,3.0745,327.03065,19212.0,100.0,100.0
171,"4-[5-(Heptafluoropropyl)-1H-1,2,4-triazol-3-yl]aniline",tentative,170.94,11.471,327.0502,26013.0,100.0,100.0
172,"4,4,4-trifluoro-3-hydroxy-1-(4-methoxyphenyl)-2-methyl-3-(trifluoromethyl)butan-1-one",tentative,168.985,3.977,329.06165,78621.0,100.0,100.0
173,"4-(2,2,3,3,4,4,4-heptafluorobutanoylamino)benzamide",tentative,162.78,1.694,331.0297,37022.0,100.0,100.0
174,"4-(2,2,3,3,4,4,4-heptafluorobutanoylamino)benzamide",tentative,162.29,1.721,331.0332,73815.0,100.0,100.0
175,"4,4,5,5,6,6,7,7-Octafluoro-1-phenylhept-1-yn-3-ol",tentative,165.19,3.039,331.0363,52670.0,100.0,100.0
176,N-[4-(Pentafluoroethoxy)phenyl]pyridine-3-carboxamide or N-[4-(Pentafluoroethoxy)phenyl]pyridine-4-carboxamide,tentative,170.76999999999998,4.936,331.0487,74916.0,100.0,100.0
177,"2-Ethyl-4,4,4-trifluoro-1-(4-fluorophenyl)-3-(trifluoromethyl)butane-1,3-diol",tentative,141.47,3.983,333.0711,72504.0,100.0,100.0
178,"2,2-Bis(3-aminophenyl)hexafluoropropane or Benzenamine, 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis-",tentative,173.53,6.917,333.0852,38631.0,100.0,100.0
179,"1,1,1,3,4,4,4-Heptafluoro-2,3-bis(trifluoromethyl)butan-2-ol or Tridecafluorohexan-1-ol",tentative,162.745,2.653,334.97505,50527.0,100.0,100.0
180,"1-(Butylselanyl)-2,2,3,3,4,4,4-heptafluorobutan-1-ol",tentative,141.66,3.947,334.9813,86482.0,100.0,100.0
