ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
70,11.239,21.703,195.63,265.1471,25747,-1,4,3,100,x,FALSE,11.239,21.703,195.63,265.1471,25747,0.61,3,,,,,0,,0,,,,,16,up,95.414,21340,12841,43060,0.001,0.001,0.001
71,13.555,33.462,278.15,539.432,25349,-1,4,3,99.8,x,FALSE,13.555,33.462,278.15,539.432,25349,0.52,3,,,,,0,,0,,,,,16,up,97.047,37700,26987,11360,0.001,0.001,0.001
72,14.154,24.059,212.17,307.264,25111,-1,4,3,100,x,FALSE,14.154,24.059,212.17,307.264,25111,0.16,3,,,,,0,,0,,,,,16,up,99.958,28464,26237,20633,0.001,0.001,0.001
73,12.666,24.32,213.65,325.1842,25040,-1,4,3,92.7,x,FALSE,12.666,24.32,213.65,325.1842,25040,0.16,3,,,,,0,,0,,,,,16,up,99.954,20753,25396,28970,0.001,0.001,0.001
74,15.028,33.921,281.33,557.459,24949,-1,2,3,97,x,FALSE,15.028,33.921,281.33,557.459,24949,0.78,3,,,,,0,,0,,,,,16,up,91.004,44939,23729,6180,0.001,0.001,0.001
75,7.83,27.964,239.1,413.2003,24694,-1,5,3,100,x,FALSE,7.83,27.964,239.1,413.2003,24694,0.67,3,,,,,0,,0,,,,,16,up,93.925,43363,11966,18752,0.001,0.001,0.001
76,12.835,24.005,211.93,301.217,24108,-1,4,3,100,x,FALSE,12.835,24.005,211.93,301.217,24108,0.33,3,,,,,0,,0,,,,,16,up,99.391,31693,24665,15966,0.001,0.001,0.001
77,14.066,22.644,202.65,269.2482,23871,-1,4,3,100,x,FALSE,14.066,22.644,202.65,269.2482,23871,0.21,3,,,,,0,,0,,,,,16,up,99.887,28915,23695,19004,0.001,0.001,0.001
78,13.491,29.801,251.14,524.2791,22667,-1,4,3,100,x,FALSE,13.491,29.801,251.14,524.2791,22667,0.45,3,,,,,0,,0,,,,,16,up,98.139,14056,19941,34005,0.001,0.001,0.001
79,13.433,33.223,276.37,539.4319,22403,-1,5,3,99.3,x,FALSE,13.433,33.223,276.37,539.4319,22403,0.85,3,,,,,0,,0,,,,,16,up,88.733,44075,15363,7771,0.001,0.001,0.001
80,14.533,30.31,255.12,508.3418,22387,-1,4,3,100,x,FALSE,14.533,30.31,255.12,508.3418,22387,0.34,3,,,,,0,,0,,,,,16,up,99.3,27433,26091,13637,0.001,0.001,0.001
81,9.97,27.533,236.14,399.2213,21784,-1,4,3,100,x,FALSE,9.97,27.533,236.14,399.2213,21784,0.73,3,,,,,0,,0,,,,,16,up,92.417,3493,30829,31031,0.001,0.001,0.001
82,14.532,33.646,279,582.3792,21744,-1,4,3,100,x,FALSE,14.532,33.646,279,582.3792,21744,0.15,3,,,,,0,,0,,,,,16,up,99.969,21224,25205,18802,0.001,0.001,0.001
83,13.129,21.52,195.15,241.2167,21650,-1,4,3,100,x,FALSE,13.129,21.52,195.15,241.2167,21650,0.29,3,,,,,0,,0,,,,,16,up,99.594,17661,28943,18347,0.001,0.001,0.001
84,11.153,23.524,208.48,295.2275,21543,-1,4,3,100,x,FALSE,11.153,23.524,208.48,295.2275,21543,1.25,3,,,,,0,,0,,,,,16,up,76.067,52604,3536,8489,0.001,0.001,0.001
85,4.854,16.905,311.93,224.0608,21537,-2,4,3,100,x,FALSE,4.854,16.905,311.93,224.0608,21537,0.4,3,,,,,0,,0,,,,,16,up,98.78,26929,11638,26045,0.001,0.001,0.001
86,1.759,19.547,181.81,203.0818,21122,-1,2,3,100,x,FALSE,1.759,19.547,181.81,203.0818,21122,0.25,3,,,,,0,,0,,,,,16,up,99.777,23919,15064,24382,0.001,0.001,0.001
87,12.589,25.475,222.36,325.1842,21026,-1,4,3,64,x,FALSE,12.589,25.475,222.36,325.1842,21026,0.06,3,,,,,0,,0,,,,,16,up,99.999,22271,20960,19847,0.001,0.001,0.001
88,15.516,35.972,295.11,698.5151,20741,-1,4,3,100,x,FALSE,15.516,35.972,295.11,698.5151,20741,0.84,3,,,,,0,,0,,,,,16,up,89.076,1176,26174,34874,0.001,0.001,0.001
89,16.121,40.697,328.91,844.6117,20628,-1,4,2,100,x,FALSE,16.121,40.697,328.91,844.6117,20628,0.87,2,,,,,0,,0,,,,,16,up,88.373,0.001,30343,31540,0.001,0.001,0.001
90,12.588,25.947,225.92,325.1842,20537,-1,4,3,77.3,x,FALSE,12.588,25.947,225.92,325.1842,20537,0.08,3,,,,,0,,0,,,,,16,up,99.997,22130,20762,18719,0.001,0.001,0.001
91,15.428,26.003,225.63,353.3426,20458,-1,4,3,100,x,FALSE,15.428,26.003,225.63,353.3426,20458,1.07,3,,,,,0,,0,,,,,16,up,82.022,44583,14704,2087,0.001,0.001,0.001
92,15.691,40.162,325.14,818.5938,20252,-1,4,3,100,x,FALSE,15.691,40.162,325.14,818.5938,20252,0.86,3,,,,,0,,0,,,,,16,up,88.699,274,31276,29206,0.001,0.001,0.001
93,11.091,19.958,185.21,199.1697,20082,-1,3,3,100,x,FALSE,11.091,19.958,185.21,199.1697,20082,0.35,3,,,,,0,,0,,,,,16,up,99.193,12151,22233,25862,0.001,0.001,0.001
94,14.334,28.497,242.26,462.2995,19405,-1,3,3,100,x,FALSE,14.334,28.497,242.26,462.2995,19405,0.21,3,,,,,0,,0,,,,,16,up,99.882,15028,20101,23085,0.001,0.001,0.001
95,14.403,34.256,283.4,593.4803,19164,-1,3,3,87.3,x,FALSE,14.403,34.256,283.4,593.4803,19164,1.01,3,,,,,0,,0,,,,,16,up,83.746,7626,41581,8284,0.001,0.001,0.001
96,9.731,29.649,250.22,507.2242,19116,-1,4,3,100,x,FALSE,9.731,29.649,250.22,507.2242,19116,0.48,3,,,,,0,,0,,,,,16,up,97.797,28089,9885,19375,0.001,0.001,0.001
97,2.455,24.274,211.77,397.0032,18967,-1,4,3,100,x,FALSE,2.455,24.274,211.77,397.0032,18967,0.39,3,,,,,0,,0,,,,,16,up,98.857,24996,10685,21219,0.001,0.001,0.001
