ID,RT,DT,CCS,m/z,Abundance,RSD, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
98,10.62,19.699,147.37,426.9993,11581,0.8,3281,3301,3064,3506,2640,2374,20784,16537,16058,26482,20233,20714,0,0,0
99,15.999,29.985,222.9,497.3665,11471,1.65,0.001,0.001,0.001,0.001,10284,0.001,0.001,0.001,0.001,46598,41136,39639,0,0,0
100,13.696,26.526,199.05,371.2986,11422,2.02,0.001,0.001,0.001,5435,5315,5726,0.001,0.001,0.001,0.001,55004,65582,0,0,0
101,3.479,16.893,132.03,174.0555,11221,0.69,4918,4743,4614,3732,3136,2740,22362,16598,17858,20234,17070,16641,0,0,0
102,13.369,25.373,191.01,342.2655,11091,0.83,3073,3012,2578,2692,2251,2265,17159,15686,15307,24411,22573,22089,0,0,0
103,15.066,33.67,249.21,582.3789,10941,0.47,6827,6821,6285,6220,5384,4546,15809,16333,15004,15608,16556,15895,0,0,0
104,12.306,23.444,177.56,297.244,10910,1,0.001,0.001,0.001,999,0.001,2857,21926,17647,19141,26376,21063,20907,0,0,0
105,12.859,24.488,184.74,325.1839,10802,1.67,1976,0.001,310,8017,4805,670,8144,58100,11174,0.001,36427,0.001,0,0,0
106,12.983,34.721,256.38,646.1889,10483,0.87,2024,2416,2485,1795,1787,1507,21166,21834,20395,19408,14621,16362,0,0,0
107,16.458,38.56,283.53,794.5119,10406,1.33,0.001,0.001,0.001,0.001,0.001,0.001,2991,12379,14918,35707,31371,27500,0,0,0
108,14.342,17.4,134.02,219.0281,10298,0.68,9482,0.001,0.001,10874,10334,10768,18594,19428,17930,12609,13562,0.001,0,0,0
109,14.13,25.364,191.05,337.2369,10243,0.32,8955,8810,8759,8485,6793,6952,14756,15786,15705,9075,9869,8975,0,0,0
110,15.017,25.33,190.88,333.2802,10047,0.58,5417,5103,5017,4736,3783,3467,17374,17670,14056,15732,14842,13370,0,0,0
111,6.764,19.949,150.59,328.9804,9796,0.78,3063,2665,2709,3230,2652,2218,19637,13834,14655,21497,15964,15433,0,0,0
112,9.569,32.206,238.46,577.2781,9683,0.96,1497,1065,1202,1409,1041,893,19619,11482,15097,23729,19730,19431,0,0,0
113,11.415,20.881,155.68,473.9853,9596,0.78,2922,2804,2879,2882,2508,1978,18470,14733,13708,21182,15494,15589,0,0,0
114,12.99,27.643,206.54,421.2269,9483,0.99,1512,1773,1755,1314,1171,1236,15409,30469,15520,15120,14398,14121,0,0,0
115,13.146,25.873,193.95,384.2421,9067,1.34,635,517,540,2909,2229,2154,3863,4208,4666,31396,27112,28575,0,0,0
116,14.147,28.553,213.34,419.3141,9048,1.7,0.001,0.001,0.001,2414,2646,2769,0.001,0.001,0.001,23426,35127,42192,0,0,0
117,15.381,27.404,205.15,397.3694,8977,1.53,0.001,0.001,0.001,4207,4886,4683,0.001,0.001,0.001,35981,28116,29853,0,0,0
118,16.065,29.975,222.83,496.3687,8580,1.38,0.001,0.001,0.001,7280,6680,6599,0.001,0.001,0.001,30371,26236,25788,0,0,0
119,13.865,17.462,134.53,218.0316,8526,1.25,0.001,0.001,0.001,4762,0.001,0.001,23377,22360,22252,23104,1783,4670,0,0,0
120,14.968,26.488,198.89,365.267,8478,0.35,12243,12267,12061,10389,9824,9647,6794,7947,6302,4155,5009,5099,0,0,0
121,13.752,17.433,134.27,219.0283,8375,1.06,0.001,0.001,0.001,0.001,0.001,0.001,18684,18080,18168,18328,13376,13865,0,0,0
122,11.878,24.501,185.53,297.1525,8338,1.79,5552,4355,5011,2234,1433,1777,0.001,0.001,44012,35681,0.001,0.001,0,0,0
123,13.248,27.408,205.28,391.2832,8237,1.47,0.001,0.001,0.001,5239,4608,4669,282,230,248,31695,25719,26149,0,0,0
124,16.244,31.148,231.36,509.4579,8225,0.84,1825,2328,2308,1795,1596,1524,19892,11948,12574,15792,14084,13032,0,0,0
125,12.093,22.061,163.99,524.9865,8072,0.81,2389,2050,1968,2544,1787,1562,14414,12114,11684,19043,13500,13807,0,0,0
126,13.469,24.965,188.01,339.1998,8045,0.84,8874,0.001,0.001,4426,2567,386,12567,13394,21485,13873,9206,9759,0,0,0
127,13.145,22.6,171.91,271.2271,7928,1.3,694,566,646,3271,2525,2601,3596,3526,3294,27891,22530,23993,0,0,0
128,14.58,28.074,209.32,450.299,7634,0.91,1465,1450,1348,1026,1002,866,13108,10904,12302,18188,15147,14797,0,0,0
129,16.116,37.913,279,760.5158,7569,1.36,0.001,0.001,0.001,0.001,0.001,0.001,8635,330,12076,24310,22031,23440,0,0,0
130,14.98,26.701,200.44,367.358,7524,1.81,0.001,2087,0.001,0.001,9424,9192,0.001,0.001,0.001,0.001,42191,27392,0,0,0
131,15.719,29.449,219.1,483.3501,7518,1.53,0.001,0.001,0.001,3947,3818,3945,0.001,0.001,0.001,30566,24257,23679,0,0,0
132,16.424,36.812,271.13,728.5622,7488,1.83,0.001,0.001,0.001,0.001,0.001,1336,0.001,0.001,0.001,29010,37402,22107,0,0,0
133,14.548,24.235,183.32,305.2483,7430,1.02,15488,15342,15335,14751,13711,13361,244,0.001,205,212,258,253,0,0,0
134,14.902,27.911,208.24,441.3028,7408,1.45,0.001,0.001,0.001,5055,5157,4641,0.001,0.001,0.001,28108,24305,21627,0,0,0
135,14.042,17.459,134.47,219.0281,7062,1.02,4320,4732,4792,0.001,0.001,0.001,17317,15846,16911,16154,1614,3063,0,0,0
136,16.332,30.479,226.39,511.381,7032,1.82,0.001,0.001,0.001,0.001,0.001,198,0.001,0.001,0.001,33048,25330,25804,0,0,0
137,15.425,26.741,200.48,381.3188,6927,1.29,0.001,0.001,0.001,6642,7125,6967,0.001,0.001,0.001,23009,20108,19275,0,0,0
138,11.179,23.921,180.7,315.254,6895,0.79,2216,2048,1900,1938,1497,1679,12187,9215,10457,15160,12753,11689,0,0,0
139,14.553,28.54,212.97,437.3251,6739,1.18,0.001,0.001,0.001,17172,19113,19248,0.001,0.001,0.001,8259,8895,8180,0,0,0
