ID,RT,DT,CCS,m/z,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
4452,12.973,29.908,252.93,453.3585,920,0.001,0.001,0.001,0.001,0.001
4453,15.739,31.085,261.28,480.4426,288,631,0.001,0.001,0.001,0.001
4454,16.221,32.062,267.52,559.4701,811,108,0.001,0.001,0.001,0.001
4455,12.327,30.912,258.88,569.2727,365,554,0.001,0.001,0.001,0.001
4456,10.035,25.794,223.88,361.1988,0.001,0.001,917,0.001,0.001,0.001
4457,0.751,15.318,141.63,151.0242,347,570,0.001,0.001,0.001,141
4458,7.747,18.343,171.84,217.0016,504,412,0.001,0.001,0.001,0.001
4459,5.072,17.42,164.74,217.033,0.001,916,0.001,0.001,0.001,0.001
4460,1.966,16.637,179.11,63.9631,0.001,916,0.001,0.001,0.001,0.001
4461,10.753,18.913,174.56,260.0439,916,0.001,0.001,0.001,0.001,0.001
4462,5.459,18.597,176.74,167.107,915,0.001,0.001,0.001,0.001,0.001
4463,10.096,27.089,232.02,445.2385,915,0.001,0.001,0.001,0.001,0.001
4464,12.055,18.896,174.42,260.0438,915,0.001,0.001,0.001,0.001,0.001
4465,9.267,17.061,161.81,221.0215,915,0.001,0.001,0.001,0.001,0.001
4466,9.025,29.649,250.24,505.301,0.001,628,286,0.001,0.001,0.001
4467,13.092,26.204,226.63,376.2525,576,338,0.001,0.001,0.001,0.001
4468,13.194,33.347,276.42,618.4043,611,303,0.001,0.001,0.001,0.001
4469,15.461,27.557,236.23,403.3579,914,0.001,0.001,0.001,0.001,0.001
4470,14.325,28.694,243.38,487.2884,913,0.001,0.001,0.001,0.001,0.001
4471,14.494,31.912,267.49,477.3954,913,0.001,0.001,0.001,0.001,0.001
4472,11.922,25.383,220.33,383.2212,563,168,182,0.001,0.001,0.001
4473,8.747,18.049,167.89,262.8375,515,398,0.001,0.001,0.001,0.001
4474,6.552,27.808,237.06,467.2305,0.001,335,578,0.001,0.001,0.001
4475,6.514,26.006,224.85,391.2111,912,0.001,0.001,0.001,0.001,0.001
4476,11.462,29.166,247.06,475.327,0.001,321,591,0.001,0.001,0.001
4477,4.954,23.96,210.66,336.1386,409,226,277,0.001,0.001,0.001
4478,2.418,24.351,212.07,412.9759,0.001,407,504,0.001,0.001,0.001
4479,11.982,17.429,164.85,216.0373,0.001,911,0.001,0.001,0.001,0.001
4480,12.653,18.264,170.64,231.0481,458,452,0.001,0.001,0.001,0.001
4481,5.206,28.909,244.34,539.2478,297,473,140,0.001,0.001,0.001
4482,14.553,37.238,304.08,746.5161,0.001,0.001,910,0.001,0.001,0.001
4483,0.621,25.764,222.34,431.1102,517,0.001,393,0.001,0.001,0.001
4484,9.248,20.458,184.96,306.0437,909,0.001,0.001,0.001,0.001,0.001
4485,1.678,24.373,220.62,182.0441,0.001,908,0.001,0.001,0.001,0.001
4486,14.452,35.218,290.09,636.4316,908,0.001,0.001,0.001,0.001,0.001
4487,8.55,30.202,253.98,535.3114,0.001,0.001,907,0.001,0.001,0.001
4488,2.709,27.703,235.88,496.6944,0.001,907,0.001,0.001,0.001,0.001
4489,2.018,24.045,210.88,354.076,0.001,907,0.001,0.001,0.001,0.001
4490,16.325,40.598,327.93,886.2891,906,0.001,0.001,0.001,0.001,0.001
4491,3.725,29.966,251.85,570.28,328,277,301,0.001,0.001,0.001
4492,9.753,26.451,227.59,424.2362,351,0.001,555,0.001,0.001,0.001
4493,6.581,18.338,171.81,217.0019,452,453,0.001,0.001,0.001,0.001
4494,13.024,29.793,251.95,461.3257,522,0.001,382,0.001,0.001,0.001
4495,14.093,17.369,164.35,217.0334,903,0.001,0.001,0.001,0.001,0.001
4496,15.126,32.599,271.47,561.4804,0.001,902,0.001,0.001,0.001,0.001
4497,14.04,35.372,291.91,573.4519,545,357,0.001,0.001,0.001,0.001
4498,12.597,28.504,243.02,419.3153,440,248,213,0.001,0.001,0.001
4499,15.042,30.047,253.05,517.3477,0.001,901,0.001,0.001,0.001,0.001
4500,6.045,32.617,270.26,709.2508,0.001,901,0.001,0.001,0.001,0.001
4501,6.387,25.025,218.42,347.1597,900,0.001,0.001,0.001,0.001,0.001
4502,9.696,26.898,231.54,391.284,318,0.001,582,0.001,0.001,0.001
4503,13.619,22.401,201.3,255.7641,0.001,0.001,900,0.001,0.001,0.001
4504,10.68,28.45,241.32,506.329,663,237,0.001,0.001,0.001,0.001
4505,5.422,29.318,247.86,499.1886,751,0.001,148,0.001,0.001,0.001
4506,10.473,20.426,184.77,304.0503,418,481,0.001,0.001,0.001,0.001
4507,1.952,22.754,202.22,310.0019,0.001,899,0.001,0.001,0.001,0.001
4508,13.142,33.343,277.08,554.3519,899,0.001,0.001,0.001,0.001,0.001
4509,12.844,32.225,268.8,552.3313,313,585,0.001,0.001,0.001,0.001
4510,15.225,37.087,303.67,662.6471,898,0.001,0.001,0.001,0.001,0.001
4511,13.106,29.332,248.96,433.3322,898,0.001,0.001,0.001,0.001,0.001
4512,15.533,30.152,252.46,655.1061,639,258,0.001,0.001,0.001,0.001
4513,13.641,24.911,217.95,331.254,562,0.001,335,0.001,0.001,0.001
