Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,KMD (CF2)
tentative,155.61,9.892,284.9753,87901.0,100.0,100.0,10,CF2,0.006517415811117644
tentative,155.42,7.485,284.9755,24469.0,100.0,100.0,10,CF2,0.006317403050275061
tentative,155.4933333333333,12.493666666666668,284.97565000000003,49991.0,100.0,100.0,10,CF2,0.006167393479643124
External Standard,138.97,4.24,334.9747,0.0,0.0,0.0,10,CF2,0.003927250558604101
unmatched,158.645,2.1045,287.04535,35344.0,100.0,100.0,11,CF2,-0.06366466180543284
unmatched,134.23,3.176,187.0524,60436.0,100.0,100.0,11,CF2,-0.06433470455417023
unmatched,148.59,0.509,237.051,34868.0,100.0,100.0,11,CF2,-0.06612481876342713
unmatched,148.70499999999998,2.0795000000000003,249.04325,88281.0,100.0,100.0,12,CF2,-0.05913997313029995
unmatched,164.9,14.981,299.0395,30130.0,100.0,100.0,12,CF2,-0.05857993739999756
unmatched,142.69,0.525,199.0471,48903.0,100.0,100.0,12,CF2,-0.059800015240966786
unmatched,147.565,2.1325000000000003,205.1089,56627.0,100.0,100.0,13,CF2,-0.12198678275674979
unmatched,163.67,2.152,305.1016,29481.0,100.0,100.0,13,CF2,-0.12106672405701602
unmatched,158.23,14.039,255.1049,80260.0,100.0,100.0,13,CF2,-0.1211767310754226
unmatched,154.13,6.63,255.105,9286.0,100.0,100.0,13,CF2,-0.12127673745584389
unmatched,155.04,2.693,258.1034,66568.0,100.0,100.0,14,CF2,-0.11986804758146263
unmatched,165.06,0.661,308.0996,54214.0,100.0,100.0,14,CF2,-0.1192580086609496
unmatched,149.65,5.434,208.1041,80860.0,100.0,100.0,14,CF2,-0.11737788870928512
unmatched,153.13,1.592,263.0644,73894.0,100.0,100.0,15,CF2,-0.08118457957613145
unmatched,158.81,2.956,263.0672,38477.0,100.0,100.0,15,CF2,-0.08398475822758655
unmatched,146.64333333333337,6.985666666666667,213.06713333333332,18186.0,100.0,100.0,15,CF2,-0.08072788377231177
unmatched,147.055,9.3505,213.0674,15345.0,100.0,100.0,15,CF2,-0.08099456745338784
unmatched,159.48624999999998,0.729875,313.0623875,34925.0,100.0,100.0,15,CF2,-0.08236215470549269
unmatched,136.42,1.751,213.0729,92801.0,100.0,100.0,15,CF2,-0.08649491837579149
unmatched,163.74,7.136,322.0874,80456.0,100.0,100.0,16,CF2,-0.10795048724111211
unmatched,158.34,0.554,272.0891,35255.0,100.0,100.0,16,CF2,-0.1064603921730054
unmatched,146.76999999999998,10.25,222.09385,3433.0,100.0,100.0,16,CF2,-0.1080204917073786
