Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,1227.0,3.1,17.79,135.5,259.0094,,,,386.999,0.0,343.999,0.0,455.999,509.999,209.999,212.999,75.0,244.0
No Match,None,unmatched,2875.0,12.7,19.02,144.8,260.0408,,,,0.0,400.999,0.0,413.999,0.0,0.0,0.0,0.0,25.0,93.0
No Match,None,unmatched,1839.0,8.8,18.15,138.1,262.8372,,,,232.999,138.999,201.999,177.999,252.999,268.999,0.0,119.999,87.5,165.0
No Match,None,unmatched,5750.0,13.0,18.66,141.8,264.0278,,,,0.0,0.0,0.0,0.0,0.0,151.999,158.999,0.0,25.0,37.0
No Match,None,unmatched,6051.0,8.8,18.19,138.2,264.8339,,,,337.999,259.999,303.999,295.999,352.999,407.999,272.999,140.999,100.0,275.0
No Match,None,unmatched,4315.0,12.2,19.87,150.7,275.0533,,,,185.999,294.999,0.0,0.0,0.0,0.0,0.0,0.0,25.0,56.0
No Match,None,unmatched,2911.0,3.3,17.2,130.6,275.8446,,,,166.999,0.0,182.999,0.0,166.999,147.999,0.0,132.999,62.5,96.0
No Match,None,unmatched,5867.0,9.6,19.92,150.8,276.0508,,,,0.0,156.999,0.0,0.0,0.0,307.999,231.999,0.0,37.5,82.0
No Match,None,unmatched,5076.0,14.1,18.59,141.0,276.9975,,,,0.0,130.999,126.999,0.0,0.0,0.0,0.0,125.999,37.5,47.0
No Match,None,unmatched,1789.0,16.0,19.9,150.8,277.0472,,,,296.999,286.999,0.0,280.999,0.0,0.0,316.999,271.999,62.5,168.0
No Match,None,unmatched,3969.0,12.8,18.59,140.9,277.9958,,,,0.0,281.999,0.0,0.0,0.0,314.999,0.0,0.0,25.0,69.0
No Match,None,unmatched,667.0,4.8,17.28,131.1,278.9126,,,,730.999,538.999,541.999,466.999,720.999,576.999,376.999,372.999,100.0,492.0
No Match,None,unmatched,4559.0,10.5,18.59,140.7,278.9907,,,,0.0,221.999,0.0,0.0,0.0,0.0,225.999,0.0,25.0,53.0
No Match,None,unmatched,4857.0,11.3,18.59,140.9,278.9933,,,,0.0,0.0,0.0,0.0,178.999,0.0,232.999,0.0,25.0,49.0
No Match,None,unmatched,2992.0,15.2,19.21,145.4,286.0388,,,,0.0,0.0,0.0,0.0,428.999,0.0,0.0,341.999,25.0,88.0
No Match,None,unmatched,3392.0,8.9,19.17,145.1,287.0325,,,,0.0,0.0,0.0,0.0,217.999,0.0,0.0,437.999,25.0,76.0
No Match,None,unmatched,2318.0,15.8,19.22,145.8,287.0357,,,,752.999,0.0,526.999,0.0,0.0,0.0,0.0,0.0,25.0,145.0
No Match,None,unmatched,5772.0,10.6,19.25,145.4,289.0561,,,,0.0,195.999,0.0,0.0,0.0,0.0,0.0,112.999,25.0,37.0
No Match,None,unmatched,4694.0,11.9,18.84,142.5,291.0258,,,,0.0,0.0,0.0,0.0,106.999,0.0,0.0,322.999,25.0,51.0
No Match,None,unmatched,3785.0,12.4,18.89,143.0,291.0245,,,,0.0,0.0,0.0,101.999,0.0,0.0,0.0,379.999,25.0,56.0
No Match,None,unmatched,4543.0,6.5,17.72,134.3,292.8435,,,,155.999,0.0,163.999,0.0,129.999,0.0,0.0,0.0,37.5,54.0
No Match,None,unmatched,1358.0,6.5,17.76,134.4,294.8405,,,,312.999,333.999,307.999,207.999,286.999,338.999,0.0,182.999,87.5,229.0
No Match,None,unmatched,3783.0,4.0,17.63,133.4,295.8352,,,,0.0,0.0,150.999,0.0,172.999,0.0,0.0,0.0,25.0,39.0
No Match,None,unmatched,2505.0,6.4,17.76,134.4,296.8381,,,,185.999,0.0,156.999,137.999,139.999,149.999,107.999,0.0,75.0,106.0
No Match,None,unmatched,6203.0,12.6,20.12,152.1,300.0548,,,,0.0,0.0,0.0,100.999,0.0,0.0,105.999,0.0,25.0,26.0
No Match,None,unmatched,4265.0,4.8,19.26,145.6,303.0536,,,,0.0,0.0,143.999,100.999,0.0,122.999,121.999,0.0,50.0,60.0
No Match,None,unmatched,866.0,9.8,21.13,159.7,304.9075,,,,286.65785022323576,0.0,0.0,0.0,0.0,0.0,135.999,127.999,37.5,65.0
No Match,None,unmatched,1349.0,13.1,20.59,155.2,306.042,,,,0.0,905.999,0.0,0.0,0.0,0.0,0.0,1085.999,25.0,224.0
No Match,None,unmatched,2081.0,6.7,17.98,135.7,308.8368,,,,432.999,542.999,421.999,374.999,613.999,652.999,400.999,308.999,100.0,428.0
No Match,None,unmatched,413.0,6.7,17.97,135.7,310.8353,,,,913.999,931.999,952.999,636.999,1198.999,1383.999,727.999,586.999,100.0,826.0
No Match,None,unmatched,1035.0,6.7,17.99,135.7,312.8327,,,,0.0,475.999,432.999,333.999,0.0,653.999,402.999,325.999,75.0,300.0
No Match,None,unmatched,4709.0,8.4,17.56,132.6,320.983,,,,143.999,0.0,0.0,0.0,0.0,102.999,0.0,0.0,25.0,30.0
No Match,None,unmatched,4483.0,8.7,21.07,158.9,321.0032,,,,141.999,0.0,0.0,134.999,0.0,0.0,0.0,180.999,37.5,55.0
No Match,None,unmatched,5758.0,11.7,21.12,158.9,321.004,,,,0.0,163.999,0.0,0.0,0.0,151.999,167.999,158.999,50.0,77.0
No Match,None,unmatched,3589.0,10.9,21.14,159.3,322.001,,,,0.0,0.0,117.999,0.0,347.999,0.0,0.0,148.999,37.5,72.0
No Match,None,unmatched,5914.0,4.8,21.59,162.9,322.9653,,,,108.999,0.0,0.0,186.999,0.0,0.0,0.0,0.0,25.0,36.0
No Match,None,unmatched,5142.0,6.0,21.65,163.1,322.9647,,,,118.999,0.0,0.0,0.0,112.999,0.0,143.999,0.0,37.5,46.0
No Match,None,unmatched,1694.0,13.4,21.2,159.3,331.042,,,,0.0,0.0,0.0,0.0,251.999,345.999,394.999,0.0,37.5,114.0
No Match,None,unmatched,1422.0,13.8,21.27,160.0,331.0426,,,,0.0,392.999,0.0,0.0,373.999,383.999,331.999,409.999,62.5,217.0
No Match,None,unmatched,4175.0,15.2,21.31,160.1,332.0383,,,,0.0,212.999,0.0,0.0,0.0,182.999,0.0,109.999,37.5,60.0
