Cluster,Point1,Point2,Distance
2,2,13,322.388652034371
2,2,14,334.3314486490463
2,2,15,602.6507526775389
2,2,16,414.21997723699536
2,2,17,86.62982814499335
2,2,18,221.56096596129413
2,2,19,454.9702118166726
2,2,20,454.9702118166726
2,2,21,337.8992851653522
2,2,22,679.7184505235147
2,2,23,52.92170351964252
2,2,24,627.6872703394355
2,2,25,85.86158754634438
2,2,26,370.6779510793606
2,2,27,370.6779510793606
2,3,4,217.20641885996653
2,3,5,523.6648423489721
2,3,6,523.6648423489721
2,3,7,161.64621641574425
2,3,8,284.1544135114234
2,3,9,145.98818693668824
2,3,10,221.27067255312886
2,3,11,261.9392337650871
2,3,12,208.15681366153515
2,3,13,208.15681366153515
2,3,14,72.5070498077674
2,3,15,214.42516116442107
2,3,16,224.9614878884058
2,3,17,325.79247165575424
2,3,18,215.3239125151036
2,3,19,92.85462959814511
2,3,20,92.85462959814511
2,3,21,59.931960752943716
2,3,22,336.1988488289393
2,3,23,355.4301076570151
2,3,24,242.09326294835893
2,3,25,308.6707899217122
2,3,26,25.885802152710628
2,3,27,25.885802152710628
2,4,5,312.65279349863897
2,4,6,312.65279349863897
2,4,7,59.15461421812649
2,4,8,421.0360092105567
2,4,9,99.20664072656515
2,4,10,109.772340513309
2,4,11,140.2701236551752
2,4,12,208.7645502769632
2,4,13,208.7645502769632
2,4,14,169.17154058347109
2,4,15,431.59385451724586
2,4,16,292.5266255924726
2,4,17,113.40650591642515
2,4,18,93.9475590097466
2,4,19,289.5048652281186
2,4,20,289.5048652281186
2,4,21,170.0988906801322
2,4,22,524.7516126794458
2,4,23,144.9930755832795
2,4,24,458.13040174605396
2,4,25,92.27748266851306
2,4,26,199.12357565603423
2,4,27,199.12357565603423
2,5,6,0.0
2,5,7,371.80436174221165
2,5,8,722.3684881265842
2,5,9,381.9505120184612
2,5,10,379.99947956880214
2,5,11,376.6551680006486
2,5,12,490.30924291623444
2,5,13,490.30924291623444
2,5,14,481.78445808656596
2,5,15,734.7299297770846
2,5,16,581.9131824841817
2,5,17,199.46066500975655
2,5,18,319.85326542566344
2,5,19,601.6961185975454
2,5,20,601.6961185975454
2,5,21,481.9824685269664
2,5,22,836.5427140783335
2,5,23,223.19364426975395
2,5,24,765.6194530517812
2,5,25,221.89392666620697
2,5,26,502.0652295467115
2,5,27,502.0652295467115
2,6,7,371.80436174221165
2,6,8,722.3684881265842
2,6,9,381.9505120184612
2,6,10,379.99947956880214
2,6,11,376.6551680006486
2,6,12,490.30924291623444
2,6,13,490.30924291623444
2,6,14,481.78445808656596
2,6,15,734.7299297770846
2,6,16,581.9131824841817
2,6,17,199.46066500975655
2,6,18,319.85326542566344
2,6,19,601.6961185975454
2,6,20,601.6961185975454
2,6,21,481.9824685269664
2,6,22,836.5427140783335
2,6,23,223.19364426975395
2,6,24,765.6194530517812
2,6,25,221.89392666620697
2,6,26,502.0652295467115
2,6,27,502.0652295467115
2,7,8,366.43091088717046
2,7,9,77.42390405181075
2,7,10,95.53935810781047
2,7,11,136.84743465756384
2,7,12,168.86980974362615
2,7,13,168.86980974362615
2,7,14,110.02840542332693
2,7,15,375.76172349758303
2,7,16,244.7289725783855
2,7,17,172.49075329014397
