Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP
NEtFOSAA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100088,11.79,0.0,197.2,583.983,0.0,0.0,0.0,0.0,0.0,0.0
EtFOSE (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100089,12.01,0.0,197.38,570.0037,0.0,0.0,0.0,0.0,0.0,0.0
FDSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100090,12.54,0.0,188.12,597.9398,0.0,0.0,0.0,0.0,0.0,0.0
NMeFOSAA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100091,10.94,0.0,190.01,569.9673,0.0,0.0,0.0,0.0,0.0,0.0
N-CMAmP-6:2FOSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100092,9.95,0.0,215.21,569.0785,0.0,0.0,0.0,0.0,0.0,0.0
NMeFOSE (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100093,12.92,0.0,193.03,555.9881,0.0,0.0,0.0,0.0,0.0,0.0
FOSAA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100094,10.51,0.0,181.66,555.9517,0.0,0.0,0.0,0.0,0.0,0.0
NEtFOSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100095,12.26,0.0,179.41,525.9775,0.0,0.0,0.0,0.0,0.0,0.0
NMeFOSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100096,11.86,0.0,169.15,511.9619,0.0,0.0,0.0,0.0,0.0,0.0
N_AP_FHxSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100097,9.27,0.0,182.79,483.0417,0.0,0.0,0.0,0.0,0.0,0.0
MeFHxSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100098,10.47,0.0,152.91,411.9682,0.0,0.0,0.0,0.0,0.0,0.0
FHxSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100099,9.78,0.0,151.96,397.9526,0.0,0.0,0.0,0.0,0.0,0.0
FBSEE (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100100,8.78,0.0,163.84,386.0114,0.0,0.0,0.0,0.0,0.0,0.0
MeFBSAA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100101,7.56,0.0,158.42,369.9801,0.0,0.0,0.0,0.0,0.0,0.0
FBSAA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100102,6.86,0.0,147.21,355.9645,0.0,0.0,0.0,0.0,0.0,0.0
FBSE (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100103,8.51,0.0,146.83,341.9852,0.0,0.0,0.0,0.0,0.0,0.0
MeFBSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100104,7.69,0.0,138.88,311.9746,0.0,0.0,0.0,0.0,0.0,0.0
FBSA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100105,6.68,0.0,134.99,297.959,0.0,0.0,0.0,0.0,0.0,0.0
