Group,Peak,ID,RT,CCS,.d.DeMP
121,452.309,19444,1.903,212.51,226.999
122,451.3435,556,3.042,220.26,10811.999
122,452.3466,6010,3.173,219.54,793.999
123,452.2813,16953,2.636,227.25,690.999
123,453.2826,15349,2.691,229.0,134.999
124,453.3234,880,1.937,217.45,1678.999
124,454.3272,16771,1.744,215.97,322.999
125,455.2194,5523,2.692,214.12,535.9037654232889
125,455.3026,13976,2.509,211.62,994.999
126,455.2511,4022,1.114,224.07,675.999
126,456.2542,16034,1.306,224.06,347.999
127,457.3203,2757,2.076,209.96,10638.555666666667
127,458.3199,20831,2.155,210.76,227.999
128,469.2342,12218,2.609,217.75,163.88899999999998
128,469.3173,9976,2.549,216.74,176.999
129,471.3346,1704,3.191,216.95,2386.107475169618
129,472.3388,22618,3.095,217.55,64.22233333333332
130,473.1624,12429,1.385,209.29,245.999
130,473.2879,6230,1.473,209.41,600.999
131,478.2017,10633,2.78,213.13,364.0001111111111
131,479.2013,18549,2.672,212.89,529.999
132,487.3433,3465,2.812,228.4,928.999
132,488.3465,7247,2.824,226.91,367.999
133,487.3442,5276,2.955,224.94,1246.999
133,488.3465,7247,2.824,226.91,367.999
134,487.3803,6865,4.072,231.19,1138.999
134,488.3842,19487,4.199,230.5,493.999
135,487.3834,14458,4.267,221.27,1098.999
135,488.3847,10193,4.142,222.77,840.999
136,489.3587,1192,3.08,239.34,386.999
136,490.3634,11458,3.172,238.31,734.999
137,491.195,5738,2.596,216.82,700.999
137,491.3383,4315,2.58,218.14,2118.999
138,491.1955,4818,2.471,216.25,504.11122222222224
138,491.3383,4315,2.58,218.14,2118.999
139,491.3757,1407,2.997,229.76,10687.999
139,492.3768,6366,2.864,228.39,611.999
140,491.3794,2771,3.748,230.13,3817.222333333333
140,492.3813,7180,3.611,225.95,1568.999
141,492.2833,25357,1.637,216.56,186.999
141,493.2797,8757,1.483,215.4,203.999
142,492.3102,2082,3.17,219.15,1499.999
142,493.3072,2133,2.998,221.39,1301.999
143,492.3104,2135,2.833,219.66,1162.999
143,493.3072,2133,2.998,221.39,1301.999
144,493.2989,1932,2.451,214.97,113.999
144,494.2958,8589,2.627,218.39,1105.999
145,493.3915,501,3.997,234.96,3460.666777777778
145,493.534,8669,3.839,232.0,278.999
146,493.3918,370,3.651,230.1,39705.90375822314
146,493.534,8669,3.839,232.0,278.999
147,495.3695,6774,2.718,227.05,789.999
147,496.3738,13421,2.651,231.15,246.999
148,496.2481,2383,4.562,215.59,731.889
148,497.2515,17812,4.581,215.31,209.999
149,496.2486,4968,4.583,215.89,336.82260189272404
149,497.2515,17812,4.581,215.31,209.999
150,497.3495,5111,2.137,225.06,367.999
150,498.3537,22549,2.123,228.22,105.999
151,498.291,22792,1.217,215.12,90.999
151,499.2921,1543,1.183,217.12,4605.999
152,500.28,12926,2.696,234.83,369.999
152,501.2839,18154,2.785,233.54,240.999
153,503.3777,13686,3.438,224.85,928.999
153,504.3783,18917,3.425,226.69,177.999
154,504.2742,2060,4.523,217.03,446.33344444444447
154,505.2771,24964,4.539,217.25,141.11122222222224
155,505.4293,4335,4.753,235.39,833.999
155,506.43,21697,4.606,233.45,312.999
156,509.3863,411,3.138,234.48,17643.999
156,510.3908,5423,3.164,233.79,1446.999
157,509.3867,310,3.192,233.85,11399.999
157,510.3908,5423,3.164,233.79,1446.999
158,515.3226,4330,1.563,224.22,2249.999
158,516.3238,14650,1.457,224.18,778.999
159,515.3236,2744,1.651,224.74,1961.999
159,516.3238,14650,1.457,224.18,778.999
160,516.3126,11902,2.935,222.26,584.999
160,517.3078,1597,2.812,222.58,562.999
161,523.3652,4144,2.12,230.86,592.999
161,524.3677,15868,2.263,229.93,231.999
162,523.9866,8327,2.43,182.29,302.6808868864844
162,524.9902,694,2.399,181.9,18253.50944014188
163,525.4187,4518,3.634,239.63,930.999
163,526.4215,21509,3.616,240.95,187.999
164,529.3534,7020,2.3,230.31,413.999
164,530.3541,21108,2.417,233.8,174.999
165,530.3574,10247,2.237,229.13,790.999
165,531.3616,5945,2.114,228.67,2825.999
166,531.2615,15590,1.92,225.85,280.999
166,531.3616,5945,2.114,228.67,2825.999
167,531.274,849,2.568,224.51,610.999
167,532.2689,13478,2.449,225.2,129.999
168,531.2741,18100,2.252,222.72,52.999
168,532.2689,13478,2.449,225.2,129.999
169,534.265,6179,2.914,234.6,124.47692285922156
169,534.3238,4410,2.988,230.74,1159.999
170,535.4018,948,2.947,237.38,9913.999
170,536.4054,3109,2.977,238.62,1325.999
171,537.3252,4730,2.687,226.97,1319.999
171,538.3236,18634,2.603,226.72,524.999
172,537.3337,799,2.832,240.31,32001.999
172,537.4171,431,2.844,238.77,4987.999
173,539.3707,16206,3.086,238.68,505.999
173,540.3699,12547,3.203,239.1,290.999
174,539.3756,19801,3.493,230.57,205.999
174,540.3784,20008,3.528,231.87,313.999
175,539.3783,16139,3.553,231.85,212.999
175,540.3784,20008,3.528,231.87,313.999
176,545.3516,28339,2.011,231.0,117.999
176,546.353,11504,1.898,229.42,360.999
177,545.4215,7868,3.477,252.95,468.999
177,546.4263,14335,3.452,252.55,557.999
178,545.4235,2929,3.59,250.65,1748.999
178,546.4263,14335,3.452,252.55,557.999
179,547.4389,1808,3.827,243.1,4779.555666666667
179,548.4425,14575,3.801,239.71,822.999
180,549.2858,13548,2.188,228.46,138.999
180,550.2846,19018,2.2,230.4,183.999
181,551.397,2828,2.656,240.5,1770.999
181,552.4001,4291,2.647,241.22,1768.999
182,554.2361,9551,1.971,227.65,440.999
182,555.2369,7072,1.916,227.34,380.999
183,555.9545,4378,2.076,180.29,1690.999
183,556.9586,16165,2.097,181.21,102.999
184,557.2903,4118,2.622,228.95,2002.999
184,558.285,2594,2.667,231.0,2149.999
185,560.3368,9509,3.417,233.16,737.999
185,560.4079,17043,3.473,235.21,513.999
186,561.3236,22627,2.913,231.04,272.999
186,562.3191,7806,2.992,230.54,648.999
187,562.2193,14351,2.038,228.46,791.999
187,563.2246,23358,2.112,228.3,183.999
188,563.4358,4656,3.953,240.48,5013.326498250203
188,564.4377,9147,3.9,242.47,589.999
189,564.3466,1319,3.877,239.62,14920.642337389889
189,564.4377,9147,3.9,242.47,589.999
190,566.3284,23526,2.74,232.05,342.999
190,567.3247,15692,2.921,231.26,270.999
191,568.3648,1939,3.345,245.5,2724.999
191,569.368,1372,3.177,245.47,3816.999
192,568.3659,1550,3.103,244.74,12968.999
192,569.368,1372,3.177,245.47,3816.999
193,568.9804,22777,2.404,181.36,37.55566666666664
193,569.9837,2810,2.4,181.82,2469.089298832881
194,573.3654,7511,1.55,236.79,757.999
194,574.3651,10898,1.421,236.54,295.999
195,573.3776,25685,2.567,243.76,158.999
195,574.3802,5662,2.615,241.43,448.999
196,574.8344,24250,0.643,195.17,126.999
196,574.9112,8489,0.739,199.05,182.889
197,575.3664,15427,2.041,234.92,174.999
197,576.3692,25283,2.208,237.16,139.999
198,584.338,5793,2.755,237.69,689.999
198,585.3419,18596,2.826,237.95,170.999
199,584.4126,17069,3.904,245.54,261.999
199,585.4183,5426,3.801,246.95,1035.999
200,587.383,11089,1.645,240.48,535.999
200,588.3855,25195,1.657,237.24,237.999
201,588.3359,19493,3.06,236.67,379.999
201,589.3372,22272,3.195,236.38,118.999
202,588.372,19790,3.546,238.3,94.44455555555555
202,589.3755,14904,3.392,241.81,381.999
203,589.45,620,3.877,246.27,25049.78592104824
203,590.4545,11278,3.983,247.58,883.3878561591522
204,593.3482,15996,2.948,241.75,123.999
204,594.3455,10460,2.923,238.19,1768.999
205,594.9394,24536,4.117,251.8,190.999
205,594.9951,27831,4.271,254.91,106.999
206,611.3837,3728,1.697,235.36,2338.999
206,612.3866,15992,1.558,234.21,387.999
207,618.3442,8208,2.637,247.46,740.999
207,618.4106,9841,2.769,246.91,473.999
208,622.1951,25121,2.319,239.05,196.999
208,622.2781,19077,2.134,241.46,202.999
209,625.4707,7721,3.276,257.04,467.2223333333333
209,626.4766,19996,3.17,254.2,91.999
210,625.4736,14845,3.194,255.81,365.999
210,626.4766,19996,3.17,254.2,91.999
211,649.359,15993,1.262,243.71,257.999
211,650.3622,24489,1.379,245.99,138.999
212,650.4577,26998,2.462,256.47,1.666777777777753
212,651.4612,26872,2.502,256.4,12.444555555555551
213,656.3952,19151,3.378,253.08,274.999
213,657.4003,21704,3.369,253.26,166.999
214,656.4023,16518,3.346,252.46,97.999
214,657.4003,21704,3.369,253.26,166.999
215,657.5032,14574,3.201,256.51,511.5556666666666
215,658.5046,11053,3.257,258.94,463.999
216,659.2236,20079,2.023,241.39,412.4445555555556
216,659.2795,16423,1.893,237.86,274.999
217,660.3882,22436,3.265,253.04,119.999
217,661.3916,11262,3.228,248.95,360.999
218,660.3928,28153,3.275,249.98,113.999
218,661.3916,11262,3.228,248.95,360.999
219,661.3864,5240,1.28,263.84,479.999
219,662.3922,23759,1.311,261.77,138.999
220,667.5213,14961,4.37,263.09,608.999
