,Name,Classification Type,CCS,RT,m/z,ID,GroupID,Repeating Unit
386,No Match,unmatched,143.68,13.2265,499.97125,28778.0,39,CF2
387,No Match,unmatched,152.115,13.2355,499.9713,11311.0,39,CF2
388,No Match,unmatched,170.305,13.92025,549.969325,41807.0,39,CF2
389,No Match,unmatched,152.91,12.502,449.9718,66642.0,39,CF2
390,No Match,unmatched,158.32,12.069,456.9903,51223.0,40,CF2
391,2-Hydroxyethyl heptadecafluorononanoate,tentative,167.24,12.648,506.9868,77269.0,40,CF2
392,No Match,unmatched,175.74,13.147,556.9821,55892.0,40,CF2
395,Perfluoro-9-(trifluoromethyl)decanoic acid or Perfluoroundecanoic acid,tentative,143.76,11.874,562.9546,94828.0,41,CF2
396,Perfluoro-9-(trifluoromethyl)decanoic acid or Perfluoroundecanoic acid,tentative,197.16,11.874,562.957,21428.0,41,CF2
397,Perfluoro-9-(trifluoromethyl)decanoic acid or Perfluoroundecanoic acid,tentative,205.11,11.877,562.9564,39569.0,41,CF2
398,Perfluoro-9-(trifluoromethyl)decanoic acid or Perfluoroundecanoic acid,tentative,163.02,11.8945,562.9584,30402.0,41,CF2
399,Perfluoro-9-(trifluoromethyl)decanoic acid or Perfluoroundecanoic acid,tentative,190.8125,11.78125,562.95845,15278.0,41,CF2
400,Perfluoro-9-(trifluoromethyl)decanoic acid or Perfluoroundecanoic acid,tentative,120.98,11.861,562.961,80116.0,41,CF2
