Parent Peak,Child/Baby Peak,Relationship Type
187.0079,188.009,parent-child
187.0079,188.009,baby
187.009,188.009,parent-child
187.009,188.009,baby
187.0095,188.009,parent-child
187.0095,188.0091,parent-child
187.0095,188.0092,parent-child
187.0095,188.0092,baby
187.0096,188.009,parent-child
187.0096,188.0091,parent-child
187.0096,188.0092,parent-child
187.0096,188.0092,baby
187.0101,188.009,parent-child
187.0101,188.0091,parent-child
187.0101,188.0092,parent-child
187.0101,188.0092,baby
187.0403,187.0403,loner
187.1339,187.1339,loner
188.0451,189.0416,parent-child
188.0451,189.042,parent-child
188.0451,189.0432,parent-child
188.0451,189.0432,baby
188.9841,188.9841,loner
188.9874,188.9874,loner
189.0041,189.0041,loner
189.0085,189.0085,loner
189.0395,189.0395,loner
189.0396,189.0396,loner
189.0399,189.0399,loner
189.0411,189.0411,loner
189.0549,189.0549,loner
191.0376,191.0376,loner
191.0561,191.0561,loner
191.1802,191.1802,loner
192.0116,193.0121,parent-child
192.0116,193.0121,baby
192.0659,192.0659,loner
192.1135,192.1135,loner
193.0884,193.0884,loner
193.1612,193.1612,loner
194.0844,194.0844,loner
194.9257,194.9257,loner
194.927,194.927,loner
194.929,194.929,loner
195.049,195.049,loner
195.0658,195.0658,loner
195.0687,195.0687,loner
195.1368,195.1368,loner
195.1374,195.1374,loner
195.1408,195.1408,loner
195.9,195.9,loner
197.0181,197.0181,loner
197.0719,197.0719,loner
197.153,197.153,loner
197.1546,197.1546,loner
197.1554,198.1586,parent-child
197.1554,198.1586,baby
199.0053,199.0053,loner
199.1711,199.1711,loner
201.0175,201.0175,loner
201.0237,202.0261,parent-child
201.0237,202.0261,baby
201.0241,202.0261,parent-child
201.0241,202.0261,baby
201.0242,202.0261,parent-child
201.0242,202.0261,baby
201.0243,202.0261,parent-child
201.0243,202.0261,baby
201.0246,202.0261,parent-child
201.0246,202.0261,baby
201.0253,202.0261,parent-child
201.0253,202.0261,baby
201.0264,202.0261,parent-child
201.0264,202.0263,parent-child
201.0264,202.0263,baby
201.0363,201.0363,loner
201.0365,201.0365,loner
201.0367,201.0367,loner
201.0375,201.0375,loner
201.0378,201.0378,loner
201.0379,201.0379,loner
201.0382,201.0382,loner
201.0383,201.0383,loner
201.0398,201.0398,loner
201.1766,201.1766,loner
202.0285,203.027,parent-child
202.0285,203.027,baby
202.0289,203.027,parent-child
202.0289,203.027,baby
202.0486,202.0486,loner
202.9306,203.1796,parent-child
202.9306,203.1796,baby
203.0001,203.0001,loner
203.0201,203.0201,loner
203.0212,203.0212,loner
203.0234,203.0234,loner
203.0545,203.0545,loner
203.055,203.055,loner
203.0551,203.0551,loner
203.0552,203.0552,loner
203.0555,203.0555,loner
203.0567,203.0567,loner
203.0588,203.0588,loner
203.0697,203.0697,loner
204.9682,204.9682,loner
204.9721,204.9721,loner
205.0511,205.0511,loner
205.0539,205.0539,loner
205.056,205.056,loner
205.1212,205.1212,loner
205.1219,205.1219,loner
205.1233,205.1233,loner
205.1601,205.1601,loner
205.1602,205.1602,loner
205.1944,205.1944,loner
205.9441,205.9441,loner
206.951,206.951,loner
207.137,207.137,loner
207.1383,207.1383,loner
207.1396,207.1396,loner
207.1399,207.1399,loner
207.9372,207.9372,loner
208.0992,208.0992,loner
208.8428,208.8428,loner
209.0649,209.0649,loner
209.1168,209.1168,loner
209.1175,209.1175,loner
209.1527,209.1527,loner
209.1528,209.1528,loner
209.154,209.154,loner
209.1889,209.1889,loner
210.0707,211.0681,parent-child
210.0707,211.0681,baby
210.9995,212.0026,parent-child
210.9995,212.0026,baby
211.0229,211.0229,loner
211.0633,211.0633,loner
211.0842,211.0842,loner
211.1338,211.1338,loner
212.0041,212.0041,loner
212.0045,212.0045,loner
212.0052,212.0052,loner
212.0886,213.086,parent-child
212.0886,213.0873,parent-child
212.0886,213.0874,parent-child
212.0886,213.0877,parent-child
212.0886,213.088,parent-child
212.0886,213.088,baby
212.089,213.086,parent-child
212.089,213.0873,parent-child
212.089,213.0874,parent-child
212.089,213.0877,parent-child
212.089,213.088,parent-child
212.089,213.088,baby
212.0912,213.0873,parent-child
212.0912,213.0874,parent-child
212.0912,213.0877,parent-child
212.0912,213.088,parent-child
212.0912,213.088,baby
212.9445,212.9445,loner
213.0208,213.0208,loner
213.0209,213.0209,loner
213.0212,213.0212,loner
213.0215,213.0215,loner
213.0219,213.0219,loner
213.0221,213.0221,loner
213.0231,213.0231,loner
213.0236,213.0236,loner
213.0237,213.0237,loner
213.0241,213.0241,loner
213.025,213.025,loner
213.0251,213.0251,loner
213.0539,213.0539,loner
213.1486,213.1486,loner
213.1507,213.1507,loner
213.1841,213.1841,loner
213.1868,213.1868,loner
213.9853,213.9853,loner
215.0311,215.0311,loner
215.0312,215.0312,loner
215.0317,215.0317,loner
215.0327,215.0327,loner
215.0335,215.0335,loner
215.0341,215.0341,loner
215.0344,215.0344,loner
215.0346,215.0346,loner
215.035,215.035,loner
215.0352,215.0352,loner
215.0354,215.0354,loner
215.0359,215.0359,loner
215.036,215.036,loner
215.0788,215.0788,loner
215.1629,215.1629,loner
215.1638,215.1638,loner
216.9072,216.9072,loner
216.908,216.908,loner
217.0023,217.0023,loner
217.0202,217.0202,loner
217.0713,217.0713,loner
217.0855,217.0855,loner
217.0876,217.0876,loner
217.0891,217.0891,loner
217.9774,217.9774,loner
218.0436,218.0436,loner
218.0982,218.0982,loner
218.9843,218.9843,loner
218.985,218.985,loner
218.9865,218.9865,loner
218.987,218.987,loner
218.9951,218.9951,loner
219.0664,219.0664,loner
