,Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
390,No Match,None,unmatched,6006,14.155,17.509,133.6533333,241.0359,,,,0,56.999,68.999,0,0,0,74.999,87.999
391,No Match,None,unmatched,7407,12.7805,17.4835,133.65,241.04,,,,0,0,54.999,70.999,62.999,64.999,72.999,0
392,No Match,None,unmatched,5360,9.3775,17.454,133.485,242.03385,,,,276.999,0,0,0,212.999,0,0,0
393,No Match,None,unmatched,4425,9.751,17.433,133.32,242.0337,,,,232.999,0,0,0,231.999,0,0,0
394,No Match,None,unmatched,4562,15.537,17.492,133.56,242.034,,,,0,0,0,0,173.999,150.999,122.999,0
395,No Match,None,unmatched,3040,12.154,18.3205,139.945,242.0329,,,,0,0,0,62.999,0,0,0,51.999
396,No Match,None,unmatched,4500,14.03625,18.359,140.1925,242.0325,,,,0,95.999,0,60.999,0,0,0,0
397,No Match,None,unmatched,7769,10.705,18.989,145.02,242.0313,,,,0,0,52.999,0,61.999,0,0,57.999
398,No Match,None,unmatched,3908,14.812,17.489,133.65,242.0349,,,,0,0,0,0,343.999,209.999,0,0
399,No Match,None,unmatched,8868,12.086,18.986,145.02,242.0362,,,,0,0,0,0,61.999,56.999,0,0
400,No Match,None,unmatched,1984,3.897,18.434,140.87,242.9101,,,,217.999,0,281.999,188.999,251.999,208.999,112.999,0
401,No Match,None,unmatched,5072,3.194,19.433,148.54,242.9967,,,,0,0,75.999,138.999,89.999,78.999,0,0
402,No Match,None,unmatched,5782,4.158,20.003,152.8,243.0323,,,,0,105.999,108.999,92.999,0,0,0,0
403,No Match,None,unmatched,6582,13.644,20.1055,153.66,243.10045,,,,143.999,0,236.999,0,103.999,140.999,0,0
404,No Match,None,unmatched,1935,13.363,17.545,133.68,244.0248,,,,0,804.999,0,0,0,0,0,505.999
405,No Match,None,unmatched,5427,7.336,18.405,140.37,244.0252,,,,0,223.999,0,0,0,119.999,0,0
406,No Match,None,unmatched,5351,10.795,18.951,144.65,244.0221,,,,0,199.999,0,151.999,0,0,0,0
407,No Match,None,unmatched,77,6.616333333,17.93266667,136.69,244.9058667,,,,5877.999,5244.999,5253.999,4597.999,6988.999,6520.999,4088.999,3481.999
408,No Match,None,unmatched,2536,6.967,17.933,136.6,244.9048,,,,0,347.999,0,0,0,0,277.999,311.999
409,No Match,None,unmatched,1484,13.94,17.535,133.58,245.0211,,,,0,722.999,0,0,0,0,614.999,459.999
410,No Match,None,unmatched,2494,14.938,17.508,133.64,245.0215,,,,513.999,0,0,0,0,0,446.999,0
411,No Match,None,unmatched,984,14.1005,17.48825,133.5925,245.0226,,,,844.999,1014.999,1086.999,967.999,502.999,662.999,635.999,772.999
412,No Match,None,unmatched,1217,2.596,20.372,155.44,245.0477,,,,379.999,214.999,328.999,339.999,392.999,233.999,153.999,184.999
413,No Match,None,unmatched,176,4.188333333,20.55333333,156.57,245.0468,,,,2815.999,1908.999,2801.999,2523.999,2290.999,2311.999,1700.999,1412.999
414,No Match,None,unmatched,8922,9.716,19.116,146.2,245.0632,,,,0,0,61.999,53.999,0,0,0,0
415,No Match,None,unmatched,8150,14.2,20.259,154.93,245.1155,,,,81.999,0,0,70.999,0,0,0,0
416,No Match,None,unmatched,5509,8.8,19.152,146.35,246.0601,,,,0,0,148.999,136.999,49.999,0,0,0
417,No Match,None,unmatched,1844,4.645,17.63033333,134.27,246.0733333,,,,0,440.999,0,0,0,0,565.999,416.999
418,No Match,None,unmatched,1817,6.822333333,17.95233333,136.6866667,246.9022333,,,,0,580.999,0,0,0,0,482.999,360.999
419,No Match,None,unmatched,6536,9.087,17.141,130.99,247.0146,,,,96.999,0,58.999,0,0,91.999,0,0
420,No Match,None,unmatched,6939,12.398,17.092,130.62,247.0161,,,,0,0,80.999,79.999,0,58.999,0,0
421,No Match,None,unmatched,9032,12.7535,17.1195,130.735,247.01855,,,,0,51.999,0,53.999,0,0,0,0
422,No Match,None,unmatched,8960,13.572,17.019,130.03,247.0189,,,,0,0,0,60.999,51.999,0,0,0
423,No Match,None,unmatched,4359,6.657666667,17.956,136.6566667,248.8988333,,,,0,218.999,0,0,0,0,259.999,114.999
424,No Match,None,unmatched,5504,2.368,13.1585,100.445,248.9681,,,,0,179.999,0,0,0,167.999,0,173.999
425,No Match,None,unmatched,4743,9.365,13.111,100.1,248.9678,,,,0,0,0,194.999,0,0,0,229.999
426,No Match,None,unmatched,5587,10.456,13.123,100.19,248.9685,,,,0,245.999,0,79.999,0,0,0,0
427,No Match,None,unmatched,5080,11.905,13.124,100.135,248.96775,,,,0,214.999,0,150.999,0,0,167.999,0
428,No Match,None,unmatched,5026,14.717,13.141,100.46,248.9666,,,,0,0,73.00302614,0,20.00302614,0,0,0
429,No Match,None,unmatched,6193,6.375,17.894,136.42,250.897,,,,0,154.999,0,118.999,0,0,0,0
430,No Match,None,unmatched,7032,6.94,16.374,125.09,250.9941,,,,144.999,0,0,69.999,0,0,0,0
431,No Match,None,unmatched,9060,4.2885,18.492,140.79,251.0011,,,,0,82.999,0,0,0,0,64.999,0
432,No Match,None,unmatched,4584,5.1215,18.4265,140.565,251.00285,,,,0,0,112.999,107.999,98.999,0,0,0
433,No Match,None,unmatched,8324,7.3135,18.3975,140.35,251.00545,,,,56.999,0,0,0,93.999,83.999,0,0
434,No Match,None,unmatched,4583,5.998,18.4345,140.46,251.999,,,,201.999,0,0,0,0,0,0,241.999
435,No Match,None,unmatched,6372,13.168,18.488,140.78,252.0023,,,,0,0,0,0,148.999,0,111.999,0
436,No Match,None,unmatched,4535,9.813,18.443,140.41,252.997,,,,0,0,0,0,234.999,0,215.999,0
437,No Match,None,unmatched,8331,3.067,18.046,137.77,253.9939,,,,62.999,0,0,80.999,0,0,0,0
438,No Match,None,unmatched,8182,4.902,18.186,138.545,253.9946,,,,87.999,57.999,0,62.999,0,0,65.999,0
439,No Match,None,unmatched,8461,5.752,18.088,138.1,253.9917,,,,81.999,0,55.999,0,0,0,0,0
440,No Match,None,unmatched,7534,6.523,18.106,138.19,253.9927,,,,111.999,0,55.999,0,0,0,0,0
441,No Match,None,unmatched,6837,3.318,18.087,138.08,253.996,,,,58.999,0,61.999,105.999,0,0,0,0
442,No Match,None,unmatched,6859,4.491,18.113,138.09,253.9977,,,,75.999,0,0,88.999,0,0,0,60.999
443,No Match,None,unmatched,8573,6.655,18.0715,137.97,253.9966,,,,67.999,0,93.999,52.999,0,0,0,0
444,No Match,None,unmatched,784,2.046,18.478,140.7,256.966,,,,482.999,371.999,591.999,520.999,411.999,507.999,321.999,323.999
445,No Match,None,unmatched,7557,13.4515,18.503,140.88,257.04505,,,,0,0,0,0,51.999,73.999,57.999,0
446,No Match,None,unmatched,5344,14.2625,13.1965,100.625,257.93415,,,,0,0,122.999,110.999,0,0,0,118.999
447,No Match,None,unmatched,5824,4.873,18.477,140.89,258.0401,,,,71.999,0,75.999,91.999,0,63.999,0,0
448,No Match,None,unmatched,8853,5.463,18.505,141.17,258.0421,,,,64.999,0,54.999,0,0,0,0,0
449,No Match,None,unmatched,8358,7.153,18.445,140.71,258.0408,,,,0,0,65.999,75.999,0,0,0,0
450,No Match,None,unmatched,8640,8.452,18.487,141.03,258.0409,,,,78.999,0,50.999,0,0,0,0,0
451,No Match,None,unmatched,6341,15.994,18.475,140.93,258.0408,,,,87.999,0,80.999,93.999,0,0,0,0
452,No Match,None,unmatched,717,7.923,20.916,159.2,258.0856,,,,217.0423805,0,123.0423805,114.0423805,0,0,0,0
453,No Match,None,unmatched,1227,3.134,17.792,135.49,259.0094,,,,386.999,0,343.999,89.999,455.999,509.999,209.999,212.999
454,No Match,None,unmatched,8016,15.448,13.209,100.63,259.9341,,,,103.999,0,0,0,0,0,0,55.999
455,No Match,None,unmatched,2875,12.655,19.025,144.76,260.0408,,,,0,400.999,0,413.999,0,0,0,0
456,No Match,None,unmatched,9039,9.881,19.899,151.73,260.0771,,,,0,0,53.999,50.999,0,0,0,0
457,No Match,None,unmatched,6017,10.115,18.638,141.79,261.034,,,,144.999,142.999,0,0,0,0,0,0
458,No Match,None,unmatched,3896,15.564,19.086,145.19,261.0359,,,,0,0,203.999,0,0,0,351.999,0
459,No Match,None,unmatched,392,14.953,19.016,144.665,261.04015,,,,0,1675.999,0,1925.999,1198.999,1113.999,1202.999,2139.999
460,No Match,None,unmatched,4807,12.711,19.908,151.57,261.0724,,,,53.999,83.999,128.999,90.999,59.999,0,0,0
461,No Match,None,unmatched,7150,6.553,20.78,158.04,261.1077,,,,156.999,49.999,0,0,0,0,0,0
462,No Match,None,unmatched,5070,9.92,19.337,147.07,262.0369,,,,0,0,0,105.999,0,0,0,278.999
463,No Match,None,unmatched,147,14.944,19.061,144.86,262.03595,,,,0,4566.999,2632.999,4697.999,1536.999,1683.999,3006.999,3431.999
464,No Match,None,unmatched,4454,9.218,18.7,142.21,263.0329,,,,0,315.999,144.999,0,0,0,0,0
465,No Match,None,unmatched,1084,13.2015,19.0315,144.405,263.0327,,,,0,1442.999,0,0,0,0,2411.999,2924.999
466,No Match,None,unmatched,191,14.0445,19.02875,144.61,263.032875,,,,0,3022.999,7191.999,4002.844202,2220.999,0,3181.999,4022.999
467,No Match,None,unmatched,9012,11.82,19.057,144.78,263.108,,,,0,56.999,0,0,0,50.999,0,0
468,No Match,None,unmatched,2441,7.744,18.665,141.86,264.032,,,,0,11.21278288,0,0,0,174.2127829,0,0
469,No Match,None,unmatched,5749,4.217,19.355,146.8,264.9217,,,,0,159.999,0,0,0,0,0,150.999
470,No Match,None,unmatched,6055,6.791,19.373,146.93,264.9216,,,,0,158.999,0,0,0,0,0,125.999
471,No Match,None,unmatched,6688,10.005,19.398,147.13,264.922,,,,0,0,0,0,0,0,109.999,126.999
472,No Match,None,unmatched,7130,4.801,19.73,149.81,265.0617,,,,0,0,0,0,0,116.999,0,90.999
473,No Match,None,unmatched,8850,10.6655,18.4515,139.95,266.0064,,,,0,57.999,0,0,0,0,61.999,58.999
474,No Match,None,unmatched,4769,12.2815,18.4315,139.92,266.00695,,,,86.999,100.999,0,76.999,0,0,93.999,68.999
475,No Match,None,unmatched,4754,13.289,18.4525,140.125,266.0069,,,,0,132.999,0,0,0,0,141.999,0
476,No Match,None,unmatched,1997,14.16333333,18.43966667,140.09,266.0081,,,,0,71.999,0,0,0,0,67.999,0
