level,m/C,MD/C
1.6,49.56999999999999,-0.012955661645565351
1.6,50.43,-0.012847453313221988
1.6,50.70577514547993,-0.012800000000000002
1.6,51.3,-0.012624689197812792
1.6,51.97495024370991,-0.0124
1.6,52.17,-0.0121120534608939
1.6,52.24666607333005,-0.012
1.6,52.17,-0.011798240972176233
1.6,51.993265215126414,-0.0115
1.6,51.87206131813312,-0.011100000000000002
1.6,52.17,-0.010767130933079232
1.6,52.20433852963763,-0.0107
1.6,52.47007102353731,-0.0102
1.6,52.57962723745396,-0.0098
1.6,52.563593789490994,-0.0093
1.6,52.47164505929672,-0.0089
1.6,52.30023023330304,-0.0085
1.6,52.17,-0.008275593229340367
1.6,51.984697931575056,-0.008
1.6,51.52979268903658,-0.0076
1.6,51.3,-0.007405617935388074
1.6,51.055927867430164,-0.007199999999999999
1.6,50.678609863805534,-0.0067
1.6,50.42999999999999,-0.006380316767239188
1.6,50.372556320064994,-0.0063
1.6,50.03843419628548,-0.0059
1.6,49.61999578934365,-0.0054
1.6,49.57,-0.0053631564879695025
1.6,49.07218015254608,-0.005
1.6,48.7,-0.004769050301116962
1.6,48.4195622234091,-0.0046
1.6,47.830000000000005,-0.004187298103978638
1.6,47.70297340837212,-0.0041
1.6,47.015656347355026,-0.0037
1.6,46.959999999999994,-0.0036585282649344935
1.6,46.48418519461033,-0.0033
1.6,46.15074924248081,-0.0028
1.6,46.09,-0.0026128882712853152
1.6,46.02349491604872,-0.0024000000000000002
1.6,46.04675337661709,-0.002
1.6,46.09,-0.0018276568324437552
1.6,46.19090413158801,-0.0015
1.6,46.46047950781586,-0.0011
1.6,46.829536760665825,-0.0007000000000000001
1.6,46.959999999999994,-0.0005404528706051445
1.6,47.27211054686346,-0.0002
1.6,47.73317148223305,0.0002
1.6,47.83,0.0003014921247326705
1.6,48.25001684625818,0.0007
1.6,48.7,0.0010322155458334296
1.6,48.794762588410684,0.0011
1.6,49.23658221396771,0.0015
1.6,49.47348239442457,0.002
1.6,49.556584670928295,0.0024
1.6,49.56628224352409,0.0028
1.6,49.56999999999999,0.002882868884718077
1.6,49.595241919546005,0.0033
1.6,49.82219810789524,0.0037
1.6,50.42999999999999,0.004058872071768789
1.6,50.60295296853373,0.0041
