PrecursorName,SMILES,Formula,PrecursorMz,PrecursorAdduct
"1-Propanol, 1-ethoxy-2,2,3,3,3-pentafluoro-",CCOC(O)C(F)(F)C(F)(F)F,C5H7F5O2,193.0293403,M-H
"4,4,4-Trifluoro-3-(trifluoromethyl)-1-butanamine",NCCC(C(F)(F)F)C(F)(F)F,C5H7F6N,194.0409882,M-H
2H-Perfluoroisobutyric acid,OC(=O)C(C(F)(F)F)C(F)(F)F,C4H2F6O2,194.9886183,M-H
"2,3,3,4,4,4-Hexafluorobutanoic acid",OC(=O)C(F)C(F)(F)C(F)(F)F,C4H2F6O2,194.9886183,M-H
3H-Perfluorobutanoic acid,OC(=O)C(F)(F)C(F)C(F)(F)F,C4H2F6O2,194.9886183,M-H
4H-Perfluorobutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)F,C4H2F6O2,194.9886183,M-H
"2,2-Bis(trifluoromethyl)propanol",CC(CO)(C(F)(F)F)C(F)(F)F,C5H6F6O,195.0250038,M-H
1-(2H-Perfluoropropyl)ethanol,CC(O)C(F)(F)C(F)C(F)(F)F,C5H6F6O,195.0250038,M-H
"5-Ethyl-3-(1,1,2,2-tetrafluoroethyl)-1H-pyrazole",CCC1=CC(=NN1)C(F)(F)C(F)F,C7H8F4N2,195.0550809,M-H
"1,1,1,3,3,3-Hexafluoro-2-methoxy-2-propanol",COC(O)(C(F)(F)F)C(F)(F)F,C4H4F6O2,197.0042683,M-H
"3,3,3-Trifluoro-2-(trifluoromethyl)-1,2-propanediol",OCC(O)(C(F)(F)F)C(F)(F)F,C4H4F6O2,197.0042683,M-H
"Ethanesulfonamide, 1,1,2,2,2-pentafluoro-",NS(=O)(=O)C(F)(F)C(F)(F)F,C2H2F5NO2S,197.9653603,M-H
"1H,1H-Heptafluorobutylamine",NCC(F)(F)C(F)(F)C(F)(F)F,C4H4F7N,198.0159163,M-H
"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propan-1-amine",NCC(F)(C(F)(F)F)C(F)(F)F,C4H4F7N,198.0159163,M-H
"1,1,2,2-Tetrafluoro-5-(methylamino)hex-4-en-3-one",CNC(C)=CC(=O)C(F)(F)C(F)F,C7H9F4NO,198.0547466,M-H
"1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride",OC(F)(F)C(F)(F)S(F)(=O)=O,C2HF5O3S,198.9493759,M-H
Perfluoroethanesulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)F,C2HF5O3S,198.9493759,M-H
Pentafluoroethylphosphonic acid,OP(O)(=O)C(F)(F)C(F)(F)F,C2H2F5O3P,198.9588917,M-H
"1,1,1,3,3,3-Hexafluoro-2-hydroperoxypropan-2-ol",OOC(O)(C(F)(F)F)C(F)(F)F,C3H2F6O3,198.9835329,M-H
"1H,1H-Heptafluorobutanol",OCC(F)(F)C(F)(F)C(F)(F)F,C4H3F7O,198.9999319,M-H
"4-Thiazolol, 2-(1,2,2,2-tetrafluoroethyl)-",OC1=CSC(=N1)C(F)C(F)(F)F,C5H3F4NOS,199.9798675,M-H
"3-Chloro-1,1,2,2,3,3-hexafluoropropan-1-ol",OC(F)(F)C(F)(F)C(F)(F)Cl,C3HClF6O,200.9547313,M-H
"2-Amino-5-fluoro-5-(trifluoromethyl)-1,3-thiazol-4(5H)-one",NC1=NC(=O)C(F)(S1)C(F)(F)F,C4H2F4N2OS,200.9751165,M-H
"4-Hexen-3-one, 1,1,2,2-tetrafluoro-5-mercapto-",CC(S)=CC(=O)C(F)(F)C(F)F,C6H6F4OS,201.0002686,M-H
"5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",CC(=O)C=C(S)C(F)(F)C(F)F,C6H6F4OS,201.0002686,M-H
"5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",CC(=O)C=C(S)C(F)C(F)(F)F,C6H6F4OS,201.0002686,M-H
"5-(Pentafluoroethyl)-1,2-oxazol-3-amine",NC1=NOC(=C1)C(F)(F)C(F)(F)F,C5H3F5N2O,201.0092735,M-H
"Methyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",COC(=O)C=C(O)C(F)(F)C(F)F,C6H6F4O3,201.0180267,M-H
"5-(1,1,2,2,2-pentafluoroethyl)-1H-1,2,4-triazol-3-amine",NC1=NNC(=N1)C(F)(F)C(F)(F)F,C4H3F5N4,201.0205069,M-H
"1,1,2,2,2-Pentafluoro-N-(trifluoromethyl)ethan-1-amine",FC(F)(F)NC(F)(F)C(F)(F)F,C3HF8N,201.9908443,M-H
"2,2,3,3,3-Pentafluoro-N-propylpropanamide",CCCNC(=O)C(F)(F)C(F)(F)F,C6H8F5NO,204.0453247,M-H
"N-Ethyl-3,3,4,4,4-pentafluorobutanamide",CCNC(=O)CC(F)(F)C(F)(F)F,C6H8F5NO,204.0453247,M-H
"2,2'-Oxybis(difluoroacetic acid)",OC(=O)C(F)(F)OC(F)(F)C(O)=O,C4H2F4O5,204.9765558,M-H
"5,5,6,6,6-PENTAFLUOROHEXANOIC ACID",OC(=O)CCCC(F)(F)C(F)(F)F,C6H7F5O2,205.0293403,M-H
"1,1,1,2,2-Pentafluoro-5-hydroxyhexan-3-one",CC(O)CC(=O)C(F)(F)C(F)(F)F,C6H7F5O2,205.0293403,M-H
"4,4,5,5,5-Pentafluoro-2-methylpentanoic acid",CC(CC(F)(F)C(F)(F)F)C(O)=O,C6H7F5O2,205.0293403,M-H
"3-(2,2,3,3-Tetrafluoropropoxy)propane-1,2-diol",OCC(O)COCC(F)(F)C(F)F,C6H10F4O3,205.0493268,M-H
"4,4,4-Trifluoro-3-hydroxy-3-(trifluoromethyl)butanenitrile",OC(CC#N)(C(F)(F)F)C(F)(F)F,C5H3F6NO,206.0046027,M-H
"2,2,3,3-Tetrafluoro-2,3-dihydro-1-benzofuran-5-amine",NC1=CC2=C(OC(F)(F)C2(F)F)C=C1,C8H5F4NO,206.0234464,M-H
"4-Amino-1,1,1,2,2-pentafluorohexan-3-ol",CCC(N)C(O)C(F)(F)C(F)(F)F,C6H10F5NO,206.0609748,M-H
"3,3-Bis(trifluoromethyl)-2-propenoic acid",OC(=O)C=C(C(F)(F)F)C(F)(F)F,C5H2F6O2,206.9886183,M-H
"1,1,1-trifluoro-2-(trifluoromethyl)pent-4-en-2-ol",OC(CC=C)(C(F)(F)F)C(F)(F)F,C6H6F6O,207.0250038,M-H
"1,1,1-Trifluoro-2-(trifluoromethyl)pent-3-en-2-ol",CC=CC(O)(C(F)(F)F)C(F)(F)F,C6H6F6O,207.0250038,M-H
"3,5,5,6,6,6-Hexafluorohex-3-en-2-ol",CC(O)C(F)=CC(F)(F)C(F)(F)F,C6H6F6O,207.0250038,M-H
"(2S)-1-(2,2,3,3,3-Pentafluoropropoxy)propan-2-ol",C[C@H](O)COCC(F)(F)C(F)(F)F,C6H9F5O2,207.0449903,M-H
"1-Aziridinemethanol, alpha,alpha-bis(trifluoromethyl)-",OC(N1CC1)(C(F)(F)F)C(F)(F)F,C5H5F6NO,208.0202528,M-H
"N-(1,1,1,3,3,3-Hexafluoro-2-propanyl)acetamide",CC(=O)NC(C(F)(F)F)C(F)(F)F,C5H5F6NO,208.0202528,M-H
"Benzenamine, 3-(1,1,2,2-tetrafluoroethoxy)-",NC1=CC(OC(F)(F)C(F)F)=CC=C1,C8H7F4NO,208.0390965,M-H
"4-(1,1,2,2-tetrafluoroethoxy)aniline",NC1=CC=C(OC(F)(F)C(F)F)C=C1,C8H7F4NO,208.0390965,M-H
"2-(1,1,2,2-tetrafluoroethoxy)aniline",NC1=CC=CC=C1OC(F)(F)C(F)F,C8H7F4NO,208.0390965,M-H
"2,2-bis(Trifluoromethyl)propionic acid",CC(C(O)=O)(C(F)(F)F)C(F)(F)F,C5H4F6O2,209.0042683,M-H
2(2H-Perfluoro-2-propyl)acetic acid,OC(=O)CC(C(F)(F)F)C(F)(F)F,C5H4F6O2,209.0042683,M-H
"Phenyl(1,1,2,2-tetrafluoroethyl)phosphane",FC(F)C(F)(F)PC1=CC=CC=C1,C8H7F4P,209.0148699,M-H
"3,3,3-Trifluoro-2-(trifluoromethyl)propanehydrazide",NNC(=O)C(C(F)(F)F)C(F)(F)F,C4H4F6N2O,209.0155017,M-H
"3-(1,1,2,2-tetrafluoroethoxy)phenol",OC1=CC(OC(F)(F)C(F)F)=CC=C1,C8H6F4O2,209.0231121,M-H
"2-(1,1,2,2-tetrafluoroethoxy)phenol",OC1=CC=CC=C1OC(F)(F)C(F)F,C8H6F4O2,209.0231121,M-H
"4-(1,1,2,2-tetrafluoroethoxy)phenol",OC1=CC=C(OC(F)(F)C(F)F)C=C1,C8H6F4O2,209.0231121,M-H
