Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,6805.0,10.1,8.1,65.4,118.9696,,,,28.999,0.0,98.999,0.0,0.0,52.999,0.0,0.0,76.999,44.4,30.0
No Match,None,unmatched,8869.0,7.7,15.97,126.4,141.024,,,,14.999,0.0,0.0,0.0,0.0,60.999,0.0,0.0,57.999,33.3,17.0
No Match,None,unmatched,247.0,4.0,15.76,124.6,144.0442,,,,1592.999,2272.999,1014.999,2414.999,2375.999,1345.999,1431.999,1051.999,837.999,100.0,1444.0
No Match,None,unmatched,2747.0,12.7,16.46,130.0,149.0082,,,,106.999,311.999,0.0,285.999,259.999,0.0,0.0,0.0,0.0,44.4,101.0
No Match,None,unmatched,4703.0,13.7,16.44,129.8,149.0107,,,,53.999,214.999,0.0,0.0,100.999,0.0,112.999,0.0,0.0,44.4,53.0
No Match,None,unmatched,1988.0,2.6,16.43,129.4,151.0397,,,,157.999,0.0,0.0,245.999,220.999,296.999,214.999,158.999,121.999,77.8,150.0
No Match,None,unmatched,3191.0,8.0,16.88,133.1,151.0759,,,,0.0,22.669278720796598,0.0,57.6692787207966,103.6692787207966,36.6692787207966,0.0,0.0,0.0,44.4,27.0
No Match,None,unmatched,7673.0,9.1,16.81,132.6,151.0757,,,,21.999,0.0,0.0,93.999,83.999,0.0,0.0,0.0,0.0,33.3,23.0
No Match,None,unmatched,3989.0,10.1,15.81,124.5,152.9843,,,,66.999,235.999,0.0,227.999,173.999,187.999,159.999,72.999,0.0,77.8,120.0
No Match,None,unmatched,7973.0,14.1,15.75,124.0,152.997,,,,19.999,0.0,0.0,0.0,0.0,84.999,76.999,0.0,0.0,33.3,22.0
No Match,None,unmatched,7246.0,9.7,15.51,121.9,154.9464,,,,24.999,59.999,81.999,0.0,0.0,0.0,0.0,0.0,58.999,44.4,27.0
No Match,None,unmatched,7865.0,11.1,15.56,122.2,154.9474,,,,20.999,0.0,0.0,0.0,0.0,0.0,49.999,57.999,59.999,44.4,23.0
No Match,None,unmatched,1459.0,5.5,16.43,128.9,158.0368,,,,228.999,0.0,221.999,401.999,364.999,296.999,212.999,206.999,126.999,88.9,215.0
No Match,None,unmatched,810.0,6.0,17.43,136.3,165.0553,,,,421.999,565.999,231.999,630.999,611.999,364.999,368.999,341.999,256.999,100.0,390.0
No Match,None,unmatched,8468.0,3.3,16.57,129.3,174.9915,,,,15.999,0.0,0.0,59.999,64.999,0.0,0.0,0.0,0.0,33.3,17.0
No Match,None,unmatched,2009.0,8.0,17.9,139.5,176.0835,,,,0.0,171.19900735394458,0.0,79.19900735394458,152.19900735394458,0.0,0.0,0.0,0.0,33.3,44.0
No Match,None,unmatched,873.0,7.9,18.02,140.2,177.0918,,,,0.0,216.42650814060698,0.0,159.42650814060698,212.42650814060698,0.0,0.0,0.0,0.0,33.3,62.0
No Match,None,unmatched,2939.0,9.1,17.97,139.8,177.0921,,,,98.999,342.6657505764902,167.999,405.6657505764902,245.6657505764902,76.999,379.999,0.0,239.999,88.9,205.0
No Match,None,unmatched,658.0,2.2,17.05,132.6,179.0555,,,,547.999,728.999,399.999,727.999,866.999,587.999,424.999,303.999,339.999,100.0,503.0
No Match,None,unmatched,8395.0,2.3,12.84,99.6,188.0117,,,,17.999,0.0,65.999,74.999,0.0,0.0,0.0,0.0,0.0,33.3,19.0
No Match,None,unmatched,7424.0,2.4,18.37,142.4,189.0072,,,,23.999,0.0,0.0,0.0,0.0,82.999,108.999,0.0,0.0,33.3,25.0
No Match,None,unmatched,2786.0,7.9,18.68,144.7,191.1068,,,,0.0,129.16896815879505,0.0,71.16896815879507,68.16896815879507,14.168968158795067,0.0,0.0,0.0,44.4,33.0
No Match,None,unmatched,287.0,8.1,18.9,146.2,192.1144,,,,0.0,756.008220647489,0.0,833.008220647489,643.008220647489,0.0,0.0,0.0,0.0,33.3,227.0
No Match,None,unmatched,7751.0,14.9,18.89,146.5,192.1129,,,,21.999,0.0,0.0,114.999,58.999,0.0,0.0,0.0,0.0,33.3,23.0
No Match,None,unmatched,7547.0,10.0,18.32,142.0,194.0814,,,,22.999,67.999,0.0,0.0,116.999,0.0,0.0,0.0,0.0,33.3,24.0
No Match,None,unmatched,5845.0,7.1,18.85,146.0,197.0599,,,,37.999,70.999,0.0,124.999,105.999,0.0,0.0,0.0,0.0,44.4,38.0
No Match,None,unmatched,6970.0,3.4,18.0,138.7,199.003,,,,26.999,0.0,0.0,0.0,0.0,0.0,0.0,110.999,107.999,33.3,28.0
No Match,None,unmatched,2087.0,7.2,18.29,141.4,199.0166,,,,148.999,367.999,0.0,316.999,298.999,168.999,207.999,0.0,0.0,66.7,158.0
No Match,None,unmatched,2261.0,4.7,15.26,117.8,200.9955,,,,0.0,98.02957264447247,0.0,0.0,50.029572644472466,0.0,0.0,0.0,0.0,22.2,17.0
No Match,None,unmatched,5369.0,7.2,18.24,141.0,201.0144,,,,43.999,0.0,0.0,119.999,133.999,95.999,0.0,0.0,0.0,44.4,44.0
No Match,None,unmatched,254.0,2.2,17.63,135.9,203.0008,,,,1522.999,2069.999,373.999,2244.999,2348.999,1817.999,1909.999,1090.999,324.999,100.0,1380.0
No Match,None,unmatched,1842.0,15.3,17.36,133.9,203.0333,,,,66.999,0.0,0.0,256.999,0.0,0.0,0.0,0.0,280.999,33.3,64.0
No Match,None,unmatched,1421.0,5.5,16.86,130.0,204.9449,,,,236.999,323.999,178.999,318.999,259.999,246.999,251.999,202.999,108.999,100.0,223.0
No Match,None,unmatched,8748.0,12.8,17.43,134.6,204.9689,,,,15.999,58.999,0.0,65.999,0.0,0.0,0.0,0.0,0.0,33.3,17.0
No Match,None,unmatched,4431.0,3.2,16.82,129.6,205.9408,,,,57.999,136.999,117.999,0.0,0.0,89.999,0.0,57.999,61.999,66.7,59.0
No Match,None,unmatched,3585.0,5.5,16.84,129.8,206.9411,,,,76.999,0.0,116.999,179.999,168.999,149.999,0.0,0.0,0.0,55.6,75.0
No Match,None,unmatched,4478.0,13.7,18.44,142.1,206.9959,,,,56.999,97.999,99.999,126.999,0.0,0.0,62.999,0.0,70.999,66.7,58.0
No Match,None,unmatched,5532.0,3.3,16.82,129.6,207.936,,,,41.999,132.999,84.999,114.999,0.0,0.0,0.0,0.0,0.0,44.4,42.0
No Match,None,unmatched,5653.0,13.6,18.09,139.2,208.9742,,,,50.999,92.999,97.999,0.0,0.0,144.999,0.0,102.999,68.999,66.7,63.0
No Match,None,unmatched,6361.0,13.5,18.09,139.4,208.9769,,,,32.999,0.0,0.0,0.0,0.0,117.999,143.999,0.0,0.0,33.3,33.0
No Match,None,unmatched,5831.0,4.4,17.03,131.3,210.9441,,,,37.999,50.999,0.0,0.0,156.999,0.0,94.999,0.0,0.0,44.4,39.0
No Match,None,unmatched,8929.0,2.5,18.05,139.2,212.0021,,,,13.999,62.999,0.0,51.999,0.0,0.0,0.0,0.0,0.0,33.3,16.0
No Match,None,unmatched,2128.0,13.0,17.54,134.9,215.0407,,,,60.999,172.999,0.0,169.999,0.0,0.0,0.0,143.999,0.0,44.4,59.0
No Match,None,unmatched,5146.0,13.7,17.53,134.8,215.0404,,,,46.999,199.999,0.0,0.0,0.0,0.0,0.0,0.0,175.999,33.3,46.0
No Match,None,unmatched,2685.0,13.5,17.58,135.0,216.0367,,,,289.999,0.0,540.999,703.999,0.0,0.0,0.0,460.999,612.999,55.6,266.0
No Match,None,unmatched,822.0,14.7,17.55,134.9,216.0373,,,,463.999,0.0,0.0,1318.999,1402.999,0.0,337.999,652.999,0.0,55.6,423.0
No Match,None,unmatched,4414.0,3.2,18.5,142.4,217.0148,,,,57.999,190.999,0.0,0.0,275.999,0.0,0.0,0.0,0.0,33.3,56.0
No Match,None,unmatched,5900.0,8.5,17.58,134.8,217.0602,,,,36.999,0.0,0.0,0.0,0.0,0.0,0.0,151.999,144.999,33.3,37.0
No Match,None,unmatched,4714.0,7.9,19.45,149.3,217.0861,,,,0.0,71.59537029076444,0.0,21.595370290764436,0.0,0.0,0.0,0.0,0.0,22.2,12.0
No Match,None,unmatched,961.0,7.9,19.7,151.3,218.0942,,,,0.0,211.94792294449007,0.0,261.9479229444901,25.947922944490074,0.0,0.0,0.0,0.0,33.3,53.0
No Match,None,unmatched,4103.0,13.6,19.1,146.7,219.0976,,,,64.999,143.999,0.0,0.0,165.999,0.0,93.999,112.999,0.0,55.6,64.0
No Match,None,unmatched,878.0,5.9,17.1,131.3,220.9389,,,,387.999,592.999,316.999,467.999,397.999,112.999,582.999,335.999,297.999,100.0,359.0
No Match,None,unmatched,2030.0,7.0,17.13,131.4,221.9542,,,,152.999,229.999,0.0,240.999,207.999,243.999,162.999,140.999,0.0,77.8,146.0
No Match,None,unmatched,1101.0,5.9,17.12,131.4,222.935,,,,306.999,365.999,273.999,405.999,266.999,269.999,418.999,249.999,200.999,100.0,286.0
No Match,None,unmatched,1684.0,6.9,17.12,131.4,223.9515,,,,193.999,296.999,150.999,272.999,159.999,214.999,189.999,101.999,160.999,100.0,184.0
No Match,None,unmatched,8396.0,5.9,17.14,131.5,224.9341,,,,17.999,0.0,0.0,0.0,0.0,69.999,70.999,0.0,0.0,33.3,19.0
