PREFERRED NAME,SMILES,Formula,Mass,MONOISOTOPIC MASS,M+1,lib_eC,lib_M_eC,lib_MD,lib_MD_eC
"2,4,6-Tribromo-3-[(heptafluoropropyl)sulfanyl]aniline",NC1=C(Br)C(SC(F)(F)C(F)(F)C(F)(F)F)=C(Br)C=C1Br,C9H3Br3F7NS,526.7424539,525.735176,3.33552586,3.083881157,170.4784164,-0.264824,-0.085873607
"3-(2,2-Dibromoethenyl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid",[H][C@@]1(C=C(Br)Br)[C@@]([H])(C(O)=O)C1(C(F)(F)F)C(F)(F)F,C8H4Br2F6O2,403.8482229,402.840944,4.447367813,4.111841543,97.97093097,-0.159056,-0.038682424
"3,5,7,9,11,11-Hexachloro-2,2,3,4,4,5,6,6,7,8,8,9,10,10,11-pentadecafluoroundecanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,C11HCl6F15O2,659.7868187,658.7795379,6.197329022,5.729779052,114.9746844,-0.2204621,-0.038476545
"2-Bromo-3-(bromomethyl)-4,4,5,5,6,6,6-heptafluorohexan-3-ol",CC(Br)C(O)(CBr)C(F)(F)C(F)(F)C(F)(F)F,C7H7Br2F7O,397.8751866,396.867908,3.891446836,3.59786135,110.3066153,-0.132092,-0.036714033
"1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoro-2-iodoethoxy)ethane-1-sulfonamide",NS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)I,C4H2F8INO3S,422.8672377,421.85995,4.326291317,3.999899517,105.4676369,-0.14005,-0.03501338
"2,2-Dibromo-5-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)cyclopentan-1-one",OC(C1CCC(Br)(Br)C1=O)(C(F)(F)F)C(F)(F)F,C8H6Br2F6O2,405.863873,404.856594,4.447367813,4.111841543,98.46113712,-0.143406,-0.034876344
"Nonanoic acid, 2,4,6,8,9-pentachloro-2,3,3,4,5,5,6,7,7,8,9,9-dodecafluoro-",OC(=O)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,C9HCl5F12O2,543.8227563,542.8154757,6.084650313,5.625601251,96.49021527,-0.1845243,-0.032800814
"3,5,7,9,9-Pentachloro-2,2,3,4,4,5,6,6,7,8,8,9-dodecafluorononanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,C9HCl5F12O2,543.8227563,542.8154757,6.084650313,5.625601251,96.49021527,-0.1845243,-0.032800814
3-Bromo-4-chloropentafluorobutyric acid,OC(=O)C(F)(F)C(F)(Br)C(F)(F)Cl,C4HBrClF5O2,289.8768602,288.869581,4.326291317,3.999899517,72.21920946,-0.130419,-0.032605569
"2-bromo-2,3,3,3-tetrafluoropropanoic acid",OC(=O)C(F)(Br)C(F)(F)F,C3HBrF4O2,223.9096043,222.902325,3.244718488,2.999924637,74.30264155,-0.097675,-0.032559151
"3-Bromo-2,2,3,3-tetrafluoropropanoic acid",OC(=O)C(F)(F)C(F)(F)Br,C3HBrF4O2,223.9096043,222.902325,3.244718488,2.999924637,74.30264155,-0.097675,-0.032559151
"4-(Chlorosulfonyl)-1,1,2,2,3,3,4,4-octafluorobutane-1-sulfonic acid",OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(Cl)(=O)=O,C4HClF8O5S2,379.8826186,378.8753385,4.326291317,3.999899517,94.7212141,-0.1246615,-0.031166158
"2,6-Dibromo-4-(1,1,2,3,3,3-hexafluoropropoxy)aniline",NC1=C(Br)C=C(OC(F)(F)C(F)C(F)(F)F)C=C1Br,C9H5Br2F6NO,414.8642073,413.856929,5.00328879,4.625821736,89.46668346,-0.143071,-0.030928775
"3,5,7,9,10-Pentachloro-2,2,3,4,4,5,6,6,7,8,8,9,10,10-tetradecafluorodecanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,C10HCl5F14O2,593.8195628,592.8122821,6.76072257,6.250668056,94.8398278,-0.1877179,-0.030031654
"Difluoro(1,1,2,2-tetrafluoro-2-iodoethoxy)acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)I,C4HF6IO3,337.8874612,336.88018,4.326291317,3.999899517,84.22216073,-0.11982,-0.029955753
"4,4,5,5,6,6-hexafluoro-1,3,2-dithiazinane 1,1,3,3-tetraoxide",FC1(F)C(F)(F)S(=O)(=O)NS(=O)(=O)C1(F)F,C3HF6NO4S2,292.9251188,291.9178388,3.244718488,2.999924637,97.30839074,-0.0821612,-0.027387755
"2-bromo-2,3,3,3-tetrafluoropropanamide",NC(=O)C(F)(Br)C(F)(F)F,C3H2BrF4NO,222.9255887,221.918309,3.244718488,2.999924637,73.97462797,-0.081691,-0.027231017
"3,5,7,7-Tetrachloro-2,2,3,4,4,5,6,6,7-nonafluoroheptanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,C7HCl4F9O2,427.858694,426.8514135,5.915632249,5.469334549,78.0444878,-0.1485865,-0.027167199
"1,1,1,3,3,3-Hexafluoro-2-(trichloromethyl)propan-2-ol",OC(C(F)(F)F)(C(F)(F)F)C(Cl)(Cl)Cl,C4HCl3F6O,283.899717,282.8924367,4.326291317,3.999899517,70.72488585,-0.1075633,-0.026891501
"(2-Bromo-1,1,2,2-tetrafluoroethoxy)(difluoro)acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)Br,C4HBrF6O3,289.9013253,288.894046,4.326291317,3.999899517,72.22532586,-0.105954,-0.026489165
"2,2-Difluoro-2-(1,1,2,2-tetrafluoro-2-iodoethoxy)acetamide",NC(=O)C(F)(F)OC(F)(F)C(F)(F)I,C4H2F6INO2,336.9034456,335.89616,4.326291317,3.999899517,83.97614955,-0.10384,-0.025960652
"1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride",OC(F)(F)C(F)(F)S(F)(=O)=O,C2HF5O3S,199.956656,198.9493759,2.163145659,1.999949758,99.4771869,-0.0506241,-0.025312686
Perfluoroethanesulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)F,C2HF5O3S,199.956656,198.9493759,2.163145659,1.999949758,99.4771869,-0.0506241,-0.025312686
"1,1,2,2-Tetrafluoro-2-(1,1,2,2,3,3,4,4-octafluoro-4-iodobutoxy)ethane-1-sulfonamide",NS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,C6H2F12INO3S,522.8608506,521.85357,6.489436976,5.999849275,86.97777996,-0.14643,-0.024405613
"3,5,7,8-Tetrachloroperfluorooctanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,C8HCl4F11O2,477.8555004,476.8482199,6.76072257,6.250668056,76.28756088,-0.1517801,-0.02428222
"2,2'-Oxybis(tetrafluoroethane-1-sulfonic acid)",OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(O)(=O)=O,C4H2F8O7S2,377.9114202,376.9041401,4.326291317,3.999899517,94.22840212,-0.0958599,-0.023965577
Bis(perfluoroethylsulfonyl)amine,FC(F)(F)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)C(F)(F)F,C4HF10NO4S2,380.9187317,379.9114515,4.326291317,3.999899517,94.98024886,-0.0885485,-0.022137681
"N-(2-Bromo-4,4,5,5-tetrafluoro-3-oxo-1-phenylpent-1-en-1-yl)hypobromous amide",FC(F)C(F)(F)C(=O)C(Br)=C(NBr)C1=CC=CC=C1,C11H7Br2F4NO,402.8830509,401.875773,6.115130743,5.653782122,71.08087371,-0.124227,-0.021972371
"Difluoro(1,1,2,2-tetrafluoro-2-iodoethoxy)ethanimidamide",NC(=N)C(F)(F)OC(F)(F)C(F)(F)I,C4H3F6IN2O,335.91943,334.91215,4.326291317,3.999899517,83.73014087,-0.08785,-0.021963052
